"DateTime","Players","Average Players"
"2023-01-26 00:00:00",597,394
"2023-01-27 00:00:00",2391,1549
"2023-01-28 00:00:00",4119,3140
"2023-01-29 00:00:00",5048,3948
"2023-01-30 00:00:00",3971,3230
"2023-01-31 00:00:00",3537,2814
"2023-02-01 00:00:00",2819,2251
"2023-02-02 00:00:00",2345,1838
"2023-02-03 00:00:00",2207,1695
"2023-02-04 00:00:00",2540,1915
"2023-02-05 00:00:00",2292,1770
"2023-02-06 00:00:00",1453,1133
"2023-02-07 00:00:00",1231,920
"2023-02-08 00:00:00",1034,791
"2023-02-09 00:00:00",963,736
"2023-02-10 00:00:00",953,715
"2023-02-11 00:00:00",1180,868
"2023-02-12 00:00:00",1129,845
"2023-02-13 00:00:00",728,544
"2023-02-14 00:00:00",636,472
"2023-02-15 00:00:00",622,444
"2023-02-16 00:00:00",559,423
"2023-02-17 00:00:00",590,437
"2023-02-18 00:00:00",712,536
"2023-02-19 00:00:00",718,560
"2023-02-20 00:00:00",501,392
"2023-02-21 00:00:00",449,330
"2023-02-22 00:00:00",436,307
"2023-02-23 00:00:00",404,305
"2023-02-24 00:00:00",417,293
"2023-02-25 00:00:00",522,368
"2023-02-26 00:00:00",528,380
"2023-02-27 00:00:00",356,252
"2023-02-28 00:00:00",330,240
"2023-03-01 00:00:00",304,220
"2023-03-02 00:00:00",299,215
"2023-03-03 00:00:00",732,524
"2023-03-04 00:00:00",1386,973
"2023-03-05 00:00:00",1698,1244
"2023-03-06 00:00:00",1264,971
"2023-03-07 00:00:00",1347,953
"2023-03-08 00:00:00",1334,929
"2023-03-09 00:00:00",1199,869
"2023-03-10 00:00:00",1118,820
"2023-03-11 00:00:00",1177,907
"2023-03-12 00:00:00",1146,851
"2023-03-13 00:00:00",783,573
"2023-03-14 00:00:00",684,488
"2023-03-15 00:00:00",613,453
"2023-03-16 00:00:00",545,388
"2023-03-17 00:00:00",722,509
"2023-03-18 00:00:00",998,753
"2023-03-19 00:00:00",1137,857
"2023-03-20 00:00:00",943,664
"2023-03-21 00:00:00",840,646
"2023-03-22 00:00:00",895,653
"2023-03-23 00:00:00",933,661
"2023-03-24 00:00:00",908,635
"2023-03-25 00:00:00",997,722
"2023-03-26 00:00:00",990,687
"2023-03-27 00:00:00",723,480
"2023-03-28 00:00:00",620,435
"2023-03-29 00:00:00",567,400
"2023-03-30 00:00:00",531,366
"2023-03-31 00:00:00",549,367
"2023-04-01 00:00:00",617,441
"2023-04-02 00:00:00",643,459
"2023-04-03 00:00:00",445,321
"2023-04-04 00:00:00",457,301
"2023-04-05 00:00:00",461,302
"2023-04-06 00:00:00",413,275
"2023-04-07 00:00:00",471,300
"2023-04-08 00:00:00",487,323
"2023-04-09 00:00:00",448,320
"2023-04-10 00:00:00",412,255
"2023-04-11 00:00:00",328,209
"2023-04-12 00:00:00",304,191
"2023-04-13 00:00:00",281,182
"2023-04-14 00:00:00",326,204
"2023-04-15 00:00:00",374,257
"2023-04-16 00:00:00",376,265
"2023-04-17 00:00:00",259,183
"2023-04-18 00:00:00",259,173
"2023-04-19 00:00:00",265,174
"2023-04-20 00:00:00",262,170
