name,slug,appid,release_date,total_reviews,followers,review_score,avg_playtime,copies_sold,revenue,players,owners,peak_concurrent_players_after_90,peak_concurrent_players_timestamp,avg_concurrent_players_after_90,estimated_launch_reviews,estimated_launch_followers,estimated_launch_copies_sold,developer,publisher
Half-Life 2,half_life_2,220,2007-10-10,188867.0,100203.0,98.0,11.98331051755778,12989871.0,49366395.0,15034483.0,24298922.0,2863.0,2008-10-19 00:00:00,1630.2564102564102,18886.7,10020.300000000001,1298987.1,Valve,Valve
Half-Life 2: Deathmatch,half_life_2_deathmatch,320,2004-11-01,9838.0,9742.0,91.0,8.395212073735065,4586291.0,81551.42509330773,4586291.0,17733782.0,2658.0,2008-10-19 00:00:00,1517.7179487179487,983.8000000000001,974.2,458629.10000000003,Valve,Valve
Half-Life Deathmatch: Source,half_life_deathmatch_source,360,2006-05-01,4121.0,6927.0,75.0,3.0287331058873863,263669.0,986797.0,1329268.0,15424457.0,34.0,2006-08-27 00:00:00,31.0,412.1,692.7,26366.9,Valve,Valve
Left 4 Dead 2,left_4_dead_2,550,2009-11-16,766898.0,1253253.0,98.0,31.895562821482905,67102849.0,407230443.0,76002320.0,93325120.0,28106.0,2009-12-05 00:00:00,16186.0,76689.8,125325.3,6710284.9,Valve,Valve
Counter-Strike 2,counter_strike_2,730,2012-08-21,9207275.0,4608883.0,86.0,203.23448748949485,328468834.0,10309544777.127916,328468834.0,394713564.0,50533.0,2012-11-01 00:00:00,24538.01098901099,920727.5,460888.30000000005,32846883.400000002,Valve,Valve
BioShock,bioshock,7670,2007-08-21,24493.0,34665.0,94.0,6.269295988195109,1838099.0,14527272.0,3849180.0,9592672.0,179.0,2008-10-25 00:00:00,84.23076923076923,2449.3,3466.5,183809.90000000002,2K Boston,2K
Just Cause 2,just_cause_2,8190,2010-03-23,40533.0,57813.0,91.0,12.91570975795162,6020554.0,36922615.0,6711114.0,10057774.0,3435.0,2010-03-27 00:00:00,1804.1648351648355,4053.3,5781.3,602055.4,Avalanche Studios,Square Enix
BioShock 2,bioshock_2,8850,2010-02-09,11155.0,32063.0,89.0,6.874669190592837,1023359.0,7118592.0,2313525.0,10126792.0,4635.0,2010-02-10 00:00:00,485.1666666666667,1115.5,3206.3,102335.90000000001,2K Marin,2K
BioShock Infinite,bioshock_infinite,8870,2013-03-25,107327.0,131232.0,94.0,12.500226799340918,7134022.0,61807156.0,8145964.0,12750511.0,65332.0,2013-03-26 00:00:00,8861.857142857143,10732.7,13123.2,713402.2000000001,Irrational Games,2K
Saints Row 2,saints_row_2,9480,2009-01-07,12200.0,20253.0,76.0,12.394983801096632,1036729.0,3971797.0,2756285.0,6732730.0,716.0,2009-02-14 00:00:00,282.7391304347826,1220.0,2025.3000000000002,103672.90000000001,Volition,Deep Silver
Grand Theft Auto IV: The Complete Edition,grand_theft_auto_iv_the_complete_edition,12210,2010-10-01,162856.0,178978.0,83.0,26.613688036952116,8155315.0,51770741.0,8675370.0,11148481.0,1483.0,2010-12-30 00:00:00,577.054945054945,16285.6,17897.8,815531.5,Rockstar North,Rockstar Games
Borderlands 2,borderlands_2,49520,2012-09-17,208400.0,316046.0,89.0,47.09220953834859,16325931.0,100141231.0,19473804.0,24094956.0,124678.0,2012-09-22 00:00:00,41464.73626373626,20840.0,31604.600000000002,1632593.1,Gearbox Software,2K
Mafia II (Classic),mafia_ii_classic,50130,2011-03-22,34960.0,93208.0,94.0,23.185696918857648,2905600.0,19224985.0,3593907.0,6290744.0,3675.0,2011-04-11 00:00:00,1935.5384615384608,3496.0,9320.800000000001,290560.0,2K Czech,2K
Saints Row: The Third,saints_row_the_third,55230,2011-11-14,48292.0,71510.0,96.0,25.39353303171545,6523509.0,32779076.0,7676110.0,9983350.0,9135.0,2011-11-18 00:00:00,4146.384615384615,4829.2,7151.0,652350.9,Volition,Deep Silver
Batman: Arkham City - Game of the Year Edition,batman_arkham_city_game_of_the_year_edition,200260,2012-09-07,51699.0,52940.0,96.0,15.206673710243841,1549927.0,10589282.0,5758867.0,11142908.0,3651.0,2012-12-01 00:00:00,1560.904761904762,5169.900000000001,5294.0,154992.7,Rocksteady Studios,WB Games
Hitman: Absolution,hitman_absolution,203140,2012-11-19,45140.0,69568.0,93.0,11.967961306797257,4440728.0,29682781.0,5022964.0,7273369.0,26137.0,2012-11-19 00:00:00,6365.263736263736,4514.0,6956.8,444072.80000000005,Io-Interactive A/S,Io-Interactive A/S
Max Payne 3,max_payne_3,204100,2012-05-31,50740.0,63194.0,87.0,13.272878482450238,3024811.0,21882399.0,3271246.0,4619374.0,9594.0,2012-06-02 00:00:00,2192.911111111111,5074.0,6319.400000000001,302481.10000000003,Rockstar Studios,Rockstar Games
Saints Row IV: Re-Elected,saints_row_iv_re_elected,206420,2013-08-19,57252.0,82264.0,88.0,19.47850085642786,6320278.0,34359204.0,7261788.0,9216094.0,38655.0,2013-08-23 00:00:00,7124.945054945055,5725.200000000001,8226.4,632027.8,Deep Silver Volition,Deep Silver
Batman: Arkham Knight,batman_arkham_knight,208650,2015-06-23,102160.0,190963.0,89.0,21.547687113260597,5938771.0,46131789.0,7036201.0,11493028.0,27405.0,2015-06-23 00:00:00,4819.197802197802,10216.0,19096.3,593877.1,Rocksteady Studios,WB Games
PAYDAY 2,payday_2,218620,2013-08-13,439172.0,8202958.0,89.0,43.67834616555147,38645464.0,176167823.0,46625233.0,63372803.0,57349.0,2013-08-13 00:00:00,16758.747252747253,43917.200000000004,820295.8,3864546.4000000004,OVERKILL - a Starbreeze Studio.,Starbreeze Entertainment
Chivalry: Medieval Warfare,chivalry_medieval_warfare,219640,2012-10-16,44664.0,338245.0,83.0,15.29611326577777,6778270.0,44834766.0,8050090.0,10626719.0,23094.0,2013-01-01 00:00:00,4608.725274725275,4466.400000000001,33824.5,677827.0,Torn Banner Studios,Torn Banner Studios
