appid,name,slug,release_date,review_score,avg_playtime,players,avg_concurrent_players_after_90,estimated_launch_reviews,estimated_launch_followers,estimated_launch_copies_sold,developer,publisher,avg_sentiment,is_singleplayer,price,is_vet_dev,is_successful,is_sequel,is_q4_release,is_free
227580,"10,000,000",10000000,2013-01-15,90.0,7.0,14.0,227.43666666666664,758.0,164.0,19742.800000000003,EightyEightGames,EightyEightGames,0.7519142857142856,True,4.99,0,1.0,0,0,0
335620,Star Traders: Frontiers,star_traders_frontiers,2018-07-31,84.0,101.0,108097.0,37.25,118.0,2141.9,10607.1,Trese Brothers,Trese Brothers,0.3735844155844156,False,11.99,0,0.0,1,0,0
1354830,Cat Cafe Manager,cat_cafe_manager,2022-04-14,88.0,11.0,204.0,103.17666666666666,295.0,971.5,11600.6,Roost Games,indie.io,0.839678021978022,True,19.99,0,1.0,0,0,0
1304680,Voidigo,voidigo,2023-06-08,97.0,17.0,6.0,4.483333333333333,51.0,1072.0,11626.1,semiwork,semiwork,0.6295997999999999,True,14.99,0,0.0,0,0,0
236090,Dust: An Elysian Tail,dust_an_elysian_tail,2013-05-24,95.0,13.0,175.0,207.8166666666667,5935.0,2645.5,113710.4,Humble Hearts LLC,Xbox Game Studios,0.532297,True,5.99,0,1.0,1,0,0
562500,Warstone TD,warstone_td,2018-05-23,83.0,23.0,181358.0,3.3799999999999994,71.0,783.0,11567.1,Battlecruiser Games,Battlecruiser Games,0.38862,True,8.99,0,0.0,0,0,0
355050,Sky Force Anniversary,sky_force_anniversary,2015-04-29,92.0,12.0,2.0,7.836666666666667,11.0,522.2,8376.2,Infinite Dreams,Infinite Dreams,0.7785666666666667,True,8.99,0,0.0,0,0,0
552500,Warhammer: Vermintide 2,warhammer_vermintide_2,2018-03-08,85.0,164.0,30615.0,1.0533333333333337,10238.0,25158.2,442060.7,Fatshark,Fatshark,0.3980861,True,26.99,0,0.0,1,0,0
1484280,Demeo,demeo,2021-05-06,88.0,64.0,126.0,73.88,272.0,1519.4,9020.2,Resolution Games,Resolution Games,0.3476194029850746,False,39.99,0,0.0,0,0,0
799640,Dungeon Munchies,dungeon_munchies,2022-07-27,97.0,15.0,87.0,37.556666666666665,786.0,2338.0,11597.4,maJAJa,maJAJa,0.875,True,12.59,0,0.0,0,0,0
926140,CHANGE: A Homeless Survival Experience,change_a_homeless_survival_experience,2020-05-01,91.0,48.0,5.0,20.76,32.0,1065.2,9237.1,Delve Interactive,Delve Interactive,0.3679347826086956,False,9.99,0,0.0,1,0,0
412830,STEINS;GATE,steinsgate,2016-09-08,97.0,26.0,102.0,48.39666666666667,353.0,10024.9,104020.9,MAGES. Inc.,"Spike Chunsoft Co., Ltd.",0.5572999999999999,True,29.74,0,0.0,0,0,0
667870,MINDNIGHT,mindnight,2017-08-04,85.0,39.0,1.0,0.6466666666666666,10.0,343.90000000000003,35368.700000000004,No Moon,No Moon,0.5891000000000001,False,5.99,0,0.0,0,0,0
617160,Home Sweet Home,home_sweet_home,2017-09-26,87.0,7.0,31.0,31.986666666666665,133.0,2846.5,10807.1,"YGGDRAZIL GROUP CO.,LTD","YGGDRAZIL GROUP CO.,LTD",0.6394,True,16.99,0,0.0,0,0,0
244770,StarMade,starmade,2014-12-04,68.0,71.0,376.0,389.92,304.0,7399.200000000001,29431.0,Schine GmbH,Schine GmbH,0.5801466666666666,True,9.99,0,1.0,0,1,0
