"DateTime","Players","Average Players"
"2025-11-05 00:00:00",8090,11083
"2025-11-05 01:00:00",7327,11073
"2025-11-05 02:00:00",7064,11061
"2025-11-05 03:00:00",6816,11049
"2025-11-05 04:00:00",6464,11040
"2025-11-05 05:00:00",6401,11031
"2025-11-05 06:00:00",6369,11020
"2025-11-05 07:00:00",7098,11017
"2025-11-05 08:00:00",7925,11013
"2025-11-05 09:00:00",8680,11018
"2025-11-05 10:00:00",9759,11031
"2025-11-05 11:00:00",11212,11042
"2025-11-05 12:00:00",12993,11053
"2025-11-05 13:00:00",14480,11066
"2025-11-05 14:00:00",15143,11081
"2025-11-05 15:00:00",15122,11102
"2025-11-05 16:00:00",15353,11122
"2025-11-05 17:00:00",15747,11125
"2025-11-05 18:00:00",16061,11133
"2025-11-05 19:00:00",16139,11148
"2025-11-05 20:00:00",15743,11159
"2025-11-05 21:00:00",14340,11175
"2025-11-05 22:00:00",12000,11186
"2025-11-05 23:00:00",9658,11185
"2025-11-06 00:00:00",7969,11192
"2025-11-06 01:00:00",7162,11197
"2025-11-06 02:00:00",6916,11203
"2025-11-06 03:00:00",6742,11207
"2025-11-06 04:00:00",6414,11212
"2025-11-06 05:00:00",6284,11215
"2025-11-06 06:00:00",6430,11221
"2025-11-06 07:00:00",7092,11231
"2025-11-06 08:00:00",8148,11244
"2025-11-06 09:00:00",9045,11255
"2025-11-06 10:00:00",10039,11269
"2025-11-06 11:00:00",11422,11296
"2025-11-06 12:00:00",13216,11333
"2025-11-06 13:00:00",14719,11364
"2025-11-06 14:00:00",15528,11399
"2025-11-06 15:00:00",15494,11438
"2025-11-06 16:00:00",15284,11484
"2025-11-06 17:00:00",15789,11538
"2025-11-06 18:00:00",16256,11574
"2025-11-06 19:00:00",16259,11593
"2025-11-06 20:00:00",16052,11622
"2025-11-06 21:00:00",14565,11659
"2025-11-06 22:00:00",12046,11718
"2025-11-06 23:00:00",9827,11801
"2025-11-07 00:00:00",8102,11879
"2025-11-07 01:00:00",7326,11938
"2025-11-07 02:00:00",7017,11985
"2025-11-07 03:00:00",6891,12042
"2025-11-07 04:00:00",6479,12109
"2025-11-07 05:00:00",6453,12192
"2025-11-07 06:00:00",6677,12290
"2025-11-07 07:00:00",7409,12412
"2025-11-07 08:00:00",8437,12553
"2025-11-07 09:00:00",9386,12710
"2025-11-07 10:00:00",10715,12885
"2025-11-07 11:00:00",12357,13071
"2025-11-07 12:00:00",13991,13263
"2025-11-07 13:00:00",15594,13450
"2025-11-07 14:00:00",16493,13641
"2025-11-07 15:00:00",16686,13836
"2025-11-07 16:00:00",16674,14024
"2025-11-07 17:00:00",16700,14203
"2025-11-07 18:00:00",16737,14362
"2025-11-07 19:00:00",16999,14497
"2025-11-07 20:00:00",17012,14605
"2025-11-07 21:00:00",16084,14706
"2025-11-07 22:00:00",14200,14809
"2025-11-07 23:00:00",11849,14914
"2025-11-08 00:00:00",9629,15008
"2025-11-08 01:00:00",8565,15088
"2025-11-08 02:00:00",8507,15154
"2025-11-08 03:00:00",8629,15210
"2025-11-08 04:00:00",8658,15268
"2025-11-08 05:00:00",9016,15321
"2025-11-08 06:00:00",9851,15380
"2025-11-08 07:00:00",11113,15452
"2025-11-08 08:00:00",12551,15521
"2025-11-08 09:00:00",13956,15611
"2025-11-08 10:00:00",15541,15715
"2025-11-08 11:00:00",17374,15824
"2025-11-08 12:00:00",18892,15940
"2025-11-08 13:00:00",20600,16093
"2025-11-08 14:00:00",21598,16247
"2025-11-08 15:00:00",21609,16382
"2025-11-08 16:00:00",21392,16511
"2025-11-08 17:00:00",20951,16611
"2025-11-08 18:00:00",20362,16690
"2025-11-08 19:00:00",19855,16772
"2025-11-08 20:00:00",19666,16865
"2025-11-08 21:00:00",18707,16941
"2025-11-08 22:00:00",16892,16980
"2025-11-08 23:00:00",14304,16975
"2025-11-09 00:00:00",11756,16953
"2025-11-09 01:00:00",10280,16931
"2025-11-09 02:00:00",9943,16908
"2025-11-09 03:00:00",10052,16868
"2025-11-09 04:00:00",9903,16803
"2025-11-09 05:00:00",10346,16717
"2025-11-09 06:00:00",11455,16610
"2025-11-09 07:00:00",12564,16454
"2025-11-09 08:00:00",14520,16289
"2025-11-09 09:00:00",16255,16096
"2025-11-09 10:00:00",17969,15882
"2025-11-09 11:00:00",19969,15660
"2025-11-09 12:00:00",22497,15436
"2025-11-09 13:00:00",24188,15191
"2025-11-09 14:00:00",24710,14949
"2025-11-09 15:00:00",24571,14715
"2025-11-09 16:00:00",23615,14482
"2025-11-09 17:00:00",22698,14277
"2025-11-09 18:00:00",22279,14126
"2025-11-09 19:00:00",22114,14012
"2025-11-09 20:00:00",21430,13900
"2025-11-09 21:00:00",19477,13787
"2025-11-09 22:00:00",16452,13683
"2025-11-09 23:00:00",13444,13604
"2025-11-10 00:00:00",10939,13546
"2025-11-10 01:00:00",9472,13504
"2025-11-10 02:00:00",8682,13473
"2025-11-10 03:00:00",8102,13443
"2025-11-10 04:00:00",7337,13419
"2025-11-10 05:00:00",7123,13400
"2025-11-10 06:00:00",6891,13372
"2025-11-10 07:00:00",7615,13349
"2025-11-10 08:00:00",8742,13320
"2025-11-10 09:00:00",9811,13286
"2025-11-10 10:00:00",11249,13260
"2025-11-10 11:00:00",12989,13239
"2025-11-10 12:00:00",14870,13216
"2025-11-10 13:00:00",16713,13194
"2025-11-10 14:00:00",17454,13171
"2025-11-10 15:00:00",17449,13151
"2025-11-10 16:00:00",17348,13138
"2025-11-10 17:00:00",17904,13135
"2025-11-10 18:00:00",18453,13132
"2025-11-10 19:00:00",18415,13123
"2025-11-10 20:00:00",17908,13118
"2025-11-10 21:00:00",16405,13120
"2025-11-10 22:00:00",14190,13127
"2025-11-10 23:00:00",11771,13120
"2025-11-11 00:00:00",9709,13107
"2025-11-11 01:00:00",8669,13091
"2025-11-11 02:00:00",8027,13079
"2025-11-11 03:00:00",7768,13071
"2025-11-11 04:00:00",7294,13065
"2025-11-11 05:00:00",7098,13060
"2025-11-11 06:00:00",7132,13056
"2025-11-11 07:00:00",7862,13040
"2025-11-11 08:00:00",9021,13021
"2025-11-11 09:00:00",10405,13006
"2025-11-11 10:00:00",12084,12976
"2025-11-11 11:00:00",13908,12925
"2025-11-11 12:00:00",15818,12870
"2025-11-11 13:00:00",17631,12812
"2025-11-11 14:00:00",18439,12750
"2025-11-11 15:00:00",18472,12686
"2025-11-11 16:00:00",18360,12622
"2025-11-11 17:00:00",18708,12561
"2025-11-11 18:00:00",19030,12498
"2025-11-11 19:00:00",19114,12440
"2025-11-11 20:00:00",18733,12384
"2025-11-11 21:00:00",17169,12334
"2025-11-11 22:00:00",14406,12288
"2025-11-11 23:00:00",11706,12243
"2025-11-12 00:00:00",9453,12199
"2025-11-12 01:00:00",8470,12171
"2025-11-12 02:00:00",7889,12149
"2025-11-12 03:00:00",7635,12138
"2025-11-12 04:00:00",7163,12129
"2025-11-12 05:00:00",6922,12118
"2025-11-12 06:00:00",6603,12106
"2025-11-12 07:00:00",7244,12100
"2025-11-12 08:00:00",8419,12098
"2025-11-12 09:00:00",9278,12084
"2025-11-12 10:00:00",10261,12066
"2025-11-12 11:00:00",11964,12050
"2025-11-12 12:00:00",13787,12025
"2025-11-12 13:00:00",15442,11998
"2025-11-12 14:00:00",16194,11966
"2025-11-12 15:00:00",16190,11929
"2025-11-12 16:00:00",16211,11894
"2025-11-12 17:00:00",16564,11858
"2025-11-12 18:00:00",16981,11831
"2025-11-12 19:00:00",17090,11802
"2025-11-12 20:00:00",16919,11771
"2025-11-12 21:00:00",15633,11741
"2025-11-12 22:00:00",12969,11715
"2025-11-12 23:00:00",10331,11699
"2025-11-13 00:00:00",8589,11694
"2025-11-13 01:00:00",7765,11693
"2025-11-13 02:00:00",7531,11689
"2025-11-13 03:00:00",7325,11682
"2025-11-13 04:00:00",6822,11679
"2025-11-13 05:00:00",6656,11680
"2025-11-13 06:00:00",6541,11684
"2025-11-13 07:00:00",7315,11694
"2025-11-13 08:00:00",8293,11697
"2025-11-13 09:00:00",9235,11698
"2025-11-13 10:00:00",10358,11701
"2025-11-13 11:00:00",11782,11705
"2025-11-13 12:00:00",13604,11710
"2025-11-13 13:00:00",15142,11714
"2025-11-13 14:00:00",15738,11719
"2025-11-13 15:00:00",15763,11738
"2025-11-13 16:00:00",15766,11757
"2025-11-13 17:00:00",16385,11777
"2025-11-13 18:00:00",16706,11781
"2025-11-13 19:00:00",16699,11783
"2025-11-13 20:00:00",16492,11783
"2025-11-13 21:00:00",15259,11785
"2025-11-13 22:00:00",12947,11813
"2025-11-13 23:00:00",10469,11860
"2025-11-14 00:00:00",8777,11916
"2025-11-14 01:00:00",7786,11954
"2025-11-14 02:00:00",7401,11984
"2025-11-14 03:00:00",7338,12025
"2025-11-14 04:00:00",6934,12068
"2025-11-14 05:00:00",6821,12122
"2025-11-14 06:00:00",6839,12191
"2025-11-14 07:00:00",7459,12278
"2025-11-14 08:00:00",8338,12380
"2025-11-14 09:00:00",9291,12494
"2025-11-14 10:00:00",10540,12624
"2025-11-14 11:00:00",12037,12764
"2025-11-14 12:00:00",13854,12915
"2025-11-14 13:00:00",15473,13066
"2025-11-14 14:00:00",16552,13230
"2025-11-14 15:00:00",16591,13393
"2025-11-14 16:00:00",16540,13551
"2025-11-14 17:00:00",16636,13695
"2025-11-14 18:00:00",16914,13817
"2025-11-14 19:00:00",16909,13926
"2025-11-14 20:00:00",16731,14026
"2025-11-14 21:00:00",16219,14133
"2025-11-14 22:00:00",14510,14237
"2025-11-14 23:00:00",12337,14341
"2025-11-15 00:00:00",10071,14426
"2025-11-15 01:00:00",8888,14497
"2025-11-15 02:00:00",8835,14560
"2025-11-15 03:00:00",8822,14613
"2025-11-15 04:00:00",8740,14673
"2025-11-15 05:00:00",9109,14738
"2025-11-15 06:00:00",9846,14814
"2025-11-15 07:00:00",11024,14902
"2025-11-15 08:00:00",12354,15003
"2025-11-15 09:00:00",13819,15126
"2025-11-15 10:00:00",15375,15257
"2025-11-15 11:00:00",17319,15403
"2025-11-15 12:00:00",19084,15556
"2025-11-15 13:00:00",20981,15728
"2025-11-15 14:00:00",21999,15891
"2025-11-15 15:00:00",21954,16040
"2025-11-15 16:00:00",21654,16186
"2025-11-15 17:00:00",21001,16310
"2025-11-15 18:00:00",20818,16431
"2025-11-15 19:00:00",20525,16544
"2025-11-15 20:00:00",20241,16653
"2025-11-15 21:00:00",19338,16740
"2025-11-15 22:00:00",17497,16796
"2025-11-15 23:00:00",14935,16806
"2025-11-16 00:00:00",12237,16795
"2025-11-16 01:00:00",10627,16780
"2025-11-16 02:00:00",10182,16765
"2025-11-16 03:00:00",10260,16742
"2025-11-16 04:00:00",10105,16704
"2025-11-16 05:00:00",10483,16654
"2025-11-16 06:00:00",11381,16591
"2025-11-16 07:00:00",12774,16500
"2025-11-16 08:00:00",14626,16398
"2025-11-16 09:00:00",16245,16274
"2025-11-16 10:00:00",18077,16140
"2025-11-16 11:00:00",20306,16001
"2025-11-16 12:00:00",22628,15862
"2025-11-16 13:00:00",24205,15708
"2025-11-16 14:00:00",24736,15550
"2025-11-16 15:00:00",24700,15400
"2025-11-16 16:00:00",23976,15245
"2025-11-16 17:00:00",23486,15110
"2025-11-16 18:00:00",23147,15002
"2025-11-16 19:00:00",22755,14914
"2025-11-16 20:00:00",21837,14827
"2025-11-16 21:00:00",19876,14734
"2025-11-16 22:00:00",16491,14629
"2025-11-16 23:00:00",13369,14533
"2025-11-17 00:00:00",10734,14453
"2025-11-17 01:00:00",9365,14397
"2025-11-17 02:00:00",8526,14347
"2025-11-17 03:00:00",8094,14301
"2025-11-17 04:00:00",7436,14252
"2025-11-17 05:00:00",7206,14195
"2025-11-17 06:00:00",6871,14117
"2025-11-17 07:00:00",7471,14028
"2025-11-17 08:00:00",8378,13922
"2025-11-17 09:00:00",9416,13809
"2025-11-17 10:00:00",10817,13686
"2025-11-17 11:00:00",12640,13551
"2025-11-17 12:00:00",14561,13402
"2025-11-17 13:00:00",16202,13255
"2025-11-17 14:00:00",17022,13116
"2025-11-17 15:00:00",16987,12977
"2025-11-17 16:00:00",16918,12848
"2025-11-17 17:00:00",17512,12729
"2025-11-17 18:00:00",18046,12619
"2025-11-17 19:00:00",18041,12516
"2025-11-17 20:00:00",17550,12420
"2025-11-17 21:00:00",16101,12334
"2025-11-17 22:00:00",13412,12260
"2025-11-17 23:00:00",10931,12206
"2025-11-18 00:00:00",9064,12146
"2025-11-18 01:00:00",8177,12118
"2025-11-18 02:00:00",7885,12099
"2025-11-18 03:00:00",7654,12079
"2025-11-18 04:00:00",7132,12064
"2025-11-18 05:00:00",6889,12051
"2025-11-18 06:00:00",6681,12041
"2025-11-18 07:00:00",7259,12033
"2025-11-18 08:00:00",8327,12027
"2025-11-18 09:00:00",9291,12019
"2025-11-18 10:00:00",10514,12004
"2025-11-18 11:00:00",12081,11986
"2025-11-18 12:00:00",14083,11967
"2025-11-18 13:00:00",15886,11946
"2025-11-18 14:00:00",16765,11922
"2025-11-18 15:00:00",16654,11891
"2025-11-18 16:00:00",16269,11857
"2025-11-18 17:00:00",16610,11822
"2025-11-18 18:00:00",17161,11791
"2025-11-18 19:00:00",17153,11756
"2025-11-18 20:00:00",16749,11724
"2025-11-18 21:00:00",15271,11693
"2025-11-18 22:00:00",12931,11677
"2025-11-18 23:00:00",9643,11644
"2025-11-19 00:00:00",8728,11652
"2025-11-19 01:00:00",7850,11639
"2025-11-19 02:00:00",7368,11624
"2025-11-19 03:00:00",7221,11613
"2025-11-19 04:00:00",6761,11607
"2025-11-19 05:00:00",6588,11606
"2025-11-19 06:00:00",6473,11603
"2025-11-19 07:00:00",7018,11601
"2025-11-19 08:00:00",8059,11598
"2025-11-19 09:00:00",8865,11588
"2025-11-19 10:00:00",10134,11578
"2025-11-19 11:00:00",11623,11566
"2025-11-19 12:00:00",13408,11550
"2025-11-19 13:00:00",14991,11530
"2025-11-19 14:00:00",15671,11509
"2025-11-19 15:00:00",15633,11494
"2025-11-19 16:00:00",15480,11485
"2025-11-19 17:00:00",15948,11477
"2025-11-19 18:00:00",16317,11467
"2025-11-19 19:00:00",16367,11461
"2025-11-19 20:00:00",16055,11455
"2025-11-19 21:00:00",14919,11458
"2025-11-19 22:00:00",12565,11460
