recommendationid,steamid,review,timestamp_created,timestamp_updated,voted_up,weighted_vote_score,playtime_forever,playtime_at_review,last_played,raw_json
3903291,76561198028826898,The greatest Batman game of all time?,1354766024,1505523182,1,0.5,4321,4465,1383782651,"{""recommendationid"": ""3903291"", ""author"": {""steamid"": ""76561198028826898"", ""num_games_owned"": 422, ""num_reviews"": 40, ""playtime_forever"": 4321, ""playtime_last_two_weeks"": 0, ""playtime_at_review"": 4465, ""last_played"": 1383782651}, ""language"": ""english"", ""review"": ""The greatest Batman game of all time?"", ""timestamp_created"": 1354766024, ""timestamp_updated"": 1505523182, ""voted_up"": true, ""votes_up"": 0, ""votes_funny"": 0, ""weighted_vote_score"": 0.5, ""comment_count"": 0, ""steam_purchase"": true, ""received_for_free"": false, ""written_during_early_access"": false, ""primarily_steam_deck"": false}"
6690164,76561198072495608,Great game!!! just no words for it just play it....,1354728769,1354728769,1,0.5,496,321,1651700497,"{""recommendationid"": ""6690164"", ""author"": {""steamid"": ""76561198072495608"", ""num_games_owned"": 0, ""num_reviews"": 1, ""playtime_forever"": 496, ""playtime_last_two_weeks"": 0, ""playtime_at_review"": 321, ""last_played"": 1651700497}, ""language"": ""english"", ""review"": ""Great game!!! just no words for it just play it...."", ""timestamp_created"": 1354728769, ""timestamp_updated"": 1354728769, ""voted_up"": true, ""votes_up"": 0, ""votes_funny"": 0, ""weighted_vote_score"": 0.5, ""comment_count"": 0, ""steam_purchase"": true, ""received_for_free"": false, ""written_during_early_access"": false, ""primarily_steam_deck"": false}"
3770901,76561198027184808,"This game SUCKS!

The graphics are terribad, everything is grey, should just call it GREYMAN because EVERYTHING in the game is the same color.

Controls are horrible, batman never does what you want and everything moves so fast, if you blink you get hit or mess up and need to start whatever it was all over.

Rating:  5/10  Value:  $9.99",1354702819,1385993511,0,0.23081253468990326,4361,4359,1575561573,"{""recommendationid"": ""3770901"", ""author"": {""steamid"": ""76561198027184808"", ""num_games_owned"": 8545, ""num_reviews"": 255, ""playtime_forever"": 4361, ""playtime_last_two_weeks"": 0, ""playtime_at_review"": 4359, ""last_played"": 1575561573}, ""language"": ""english"", ""review"": ""This game SUCKS!\n\nThe graphics are terribad, everything is grey, should just call it GREYMAN because EVERYTHING in the game is the same color.\n\nControls are horrible, batman never does what you want and everything moves so fast, if you blink you get hit or mess up and need to start whatever it was all over.\n\nRating:  5/10  Value:  $9.99"", ""timestamp_created"": 1354702819, ""timestamp_updated"": 1385993511, ""voted_up"": false, ""votes_up"": 2, ""votes_funny"": 1, ""weighted_vote_score"": ""0.230812534689903259"", ""comment_count"": 1, ""steam_purchase"": false, ""received_for_free"": false, ""written_during_early_access"": false, ""primarily_steam_deck"": false}"
1339008,76561197991693224,"In my personal opinion, one of the best games I've play of recent. Batman-esque story, great voice acting, and you can't go wrong with the FreeFlow combat. Easily a 30+ hour game if you try to do everything (the DLC, Riddler's Revenge, side missions, etc.)",1354663532,1354663532,1,0.5,2303,2203,1601865874,"{""recommendationid"": ""1339008"", ""author"": {""steamid"": ""76561197991693224"", ""num_games_owned"": 1552, ""num_reviews"": 42, ""playtime_forever"": 2303, ""playtime_last_two_weeks"": 0, ""playtime_at_review"": 2203, ""last_played"": 1601865874}, ""language"": ""english"", ""review"": ""In my personal opinion, one of the best games I've play of recent. Batman-esque story, great voice acting, and you can't go wrong with the FreeFlow combat. Easily a 30+ hour game if you try to do everything (the DLC, Riddler's Revenge, side missions, etc.)"", ""timestamp_created"": 1354663532, ""timestamp_updated"": 1354663532, ""voted_up"": true, ""votes_up"": 0, ""votes_funny"": 0, ""weighted_vote_score"": 0.5, ""comment_count"": 0, ""steam_purchase"": true, ""received_for_free"": false, ""written_during_early_access"": false, ""primarily_steam_deck"": false}"
679925,76561197975242963,"Спасибо, Кончил \о",1354644957,1354644957,1,0.5,2970,361,1532517691,"{""recommendationid"": ""679925"", ""author"": {""steamid"": ""76561197975242963"", ""num_games_owned"": 1725, ""num_reviews"": 168, ""playtime_forever"": 2970, ""playtime_last_two_weeks"": 0, ""playtime_at_review"": 361, ""last_played"": 1532517691}, ""language"": ""english"", ""review"": ""Спасибо, Кончил \\о"", ""timestamp_created"": 1354644957, ""timestamp_updated"": 1354644957, ""voted_up"": true, ""votes_up"": 0, ""votes_funny"": 0, ""weighted_vote_score"": 0.5, ""comment_count"": 0, ""steam_purchase"": false, ""received_for_free"": false, ""written_during_early_access"": false, ""primarily_steam_deck"": false}"
5237842,76561198046809598,100/10,1354591622,1545634249,1,0.5,4973,4689,1748746933,"{""recommendationid"": ""5237842"", ""author"": {""steamid"": ""76561198046809598"", ""num_games_owned"": 114, ""num_reviews"": 3, ""playtime_forever"": 4973, ""playtime_last_two_weeks"": 0, ""playtime_at_review"": 4689, ""last_played"": 1748746933}, ""language"": ""english"", ""review"": ""100/10"", ""timestamp_created"": 1354591622, ""timestamp_updated"": 1545634249, ""voted_up"": true, ""votes_up"": 0, ""votes_funny"": 0, ""weighted_vote_score"": 0.5, ""comment_count"": 0, ""steam_purchase"": true, ""received_for_free"": false, ""written_during_early_access"": false, ""primarily_steam_deck"": false}"
5157417,76561198045745773,"Meu o jogo e muito bom mesmo graficos otimos som bem colocado no jogo mais, a historia e curta, fica legal se o jogado fizer as missoes secundarias do jogo eu recomendos",1354535244,1354535244,1,0.5,3652,3385,1548377464,"{""recommendationid"": ""5157417"", ""author"": {""steamid"": ""76561198045745773"", ""num_games_owned"": 0, ""num_reviews"": 9, ""playtime_forever"": 3652, ""playtime_last_two_weeks"": 0, ""playtime_at_review"": 3385, ""last_played"": 1548377464}, ""language"": ""english"", ""review"": ""Meu o jogo e muito bom mesmo graficos otimos som bem colocado no jogo mais, a historia e curta, fica legal se o jogado fizer as missoes secundarias do jogo eu recomendos"", ""timestamp_created"": 1354535244, ""timestamp_updated"": 1354535244, ""voted_up"": true, ""votes_up"": 0, ""votes_funny"": 0, ""weighted_vote_score"": 0.5, ""comment_count"": 0, ""steam_purchase"": true, ""received_for_free"": false, ""written_during_early_access"": false, ""primarily_steam_deck"": false}"
6697809,76561198072695004,"Четкая игруля, када инета нет",1354490906,1354490906,1,0.5,1613,1412,1509171461,"{""recommendationid"": ""6697809"", ""author"": {""steamid"": ""76561198072695004"", ""num_games_owned"": 229, ""num_reviews"": 14, ""playtime_forever"": 1613, ""playtime_last_two_weeks"": 0, ""playtime_at_review"": 1412, ""last_played"": 1509171461}, ""language"": ""english"", ""review"": ""Четкая игруля, када инета нет"", ""timestamp_created"": 1354490906, ""timestamp_updated"": 1354490906, ""voted_up"": true, ""votes_up"": 0, ""votes_funny"": 0, ""weighted_vote_score"": 0.5, ""comment_count"": 0, ""steam_purchase"": true, ""received_for_free"": false, ""written_during_early_access"": false, ""primarily_steam_deck"": false}"
6612570,76561198070471557,"If you want an open world action game with a fantastic story and plenty to keep you playing long after the story then this is for you. Great combat system, great story, all the characters you want to see and it is better than the first installment! Need I say more?",1354487356,1354487356,1,0.5,1213,388,1537058844,"{""recommendationid"": ""6612570"", ""author"": {""steamid"": ""76561198070471557"", ""num_games_owned"": 261, ""num_reviews"": 5, ""playtime_forever"": 1213, ""playtime_last_two_weeks"": 0, ""playtime_at_review"": 388, ""last_played"": 1537058844}, ""language"": ""english"", ""review"": ""If you want an open world action game with a fantastic story and plenty to keep you playing long after the story then this is for you. Great combat system, great story, all the characters you want to see and it is better than the first installment! Need I say more?"", ""timestamp_created"": 1354487356, ""timestamp_updated"": 1354487356, ""voted_up"": true, ""votes_up"": 0, ""votes_funny"": 0, ""weighted_vote_score"": 0.5, ""comment_count"": 0, ""steam_purchase"": true, ""received_for_free"": false, ""written_during_early_access"": false, ""primarily_steam_deck"": false}"
6837677,76561198076779739,jogaço....Melhor do gênero sem dúvidas!!!,1354412836,1354412836,1,0.5,91,90,1558834280,"{""recommendationid"": ""6837677"", ""author"": {""steamid"": ""76561198076779739"", ""num_games_owned"": 158, ""num_reviews"": 9, ""playtime_forever"": 91, ""playtime_last_two_weeks"": 0, ""playtime_at_review"": 90, ""last_played"": 1558834280}, ""language"": ""english"", ""review"": ""jogaço....Melhor do gênero sem dúvidas!!!"", ""timestamp_created"": 1354412836, ""timestamp_updated"": 1354412836, ""voted_up"": true, ""votes_up"": 0, ""votes_funny"": 0, ""weighted_vote_score"": 0.5, ""comment_count"": 0, ""steam_purchase"": true, ""received_for_free"": false, ""written_during_early_access"": false, ""primarily_steam_deck"": false}"
