recommendationid,steamid,review,timestamp_created,timestamp_updated,voted_up,weighted_vote_score,playtime_forever,playtime_at_review,last_played,raw_json
14234238,76561197967170374,A M A Z I N G   G A M E !,1422584641,1422584641,1,0.4640463888645172,1471,201,1446302146,"{""recommendationid"": ""14234238"", ""author"": {""steamid"": ""76561197967170374"", ""num_games_owned"": 0, ""num_reviews"": 2, ""playtime_forever"": 1471, ""playtime_last_two_weeks"": 0, ""playtime_at_review"": 201, ""last_played"": 1446302146}, ""language"": ""english"", ""review"": ""A M A Z I N G   G A M E !"", ""timestamp_created"": 1422584641, ""timestamp_updated"": 1422584641, ""voted_up"": true, ""votes_up"": 1, ""votes_funny"": 1, ""weighted_vote_score"": ""0.464046388864517212"", ""comment_count"": 0, ""steam_purchase"": false, ""received_for_free"": false, ""written_during_early_access"": false, ""primarily_steam_deck"": false}"
14234098,76561198056625351,"The gameplay is essentially just 3 with a lot of new guns (and an auto-crossbow which is easily the best thing ever), but that's hardly a bad thing. The story is nothing special but it is better than Far Cry 3, I didn't hate the player charcter this time around. Pagan Min is fantastic, while he's basically just a more realistic Hansome Jack, it still works. If you're willing to deal with uplay (not that big a deal, but inconvenient) you should get it.",1422583741,1422583741,1,0.5,2788,2788,1421217455,"{""recommendationid"": ""14234098"", ""author"": {""steamid"": ""76561198056625351"", ""num_games_owned"": 0, ""num_reviews"": 9, ""playtime_forever"": 2788, ""playtime_last_two_weeks"": 0, ""playtime_at_review"": 2788, ""last_played"": 1421217455}, ""language"": ""english"", ""review"": ""The gameplay is essentially just 3 with a lot of new guns (and an auto-crossbow which is easily the best thing ever), but that's hardly a bad thing. The story is nothing special but it is better than Far Cry 3, I didn't hate the player charcter this time around. Pagan Min is fantastic, while he's basically just a more realistic Hansome Jack, it still works. If you're willing to deal with uplay (not that big a deal, but inconvenient) you should get it."", ""timestamp_created"": 1422583741, ""timestamp_updated"": 1422583741, ""voted_up"": true, ""votes_up"": 0, ""votes_funny"": 0, ""weighted_vote_score"": 0.5, ""comment_count"": 0, ""steam_purchase"": true, ""received_for_free"": false, ""written_during_early_access"": false, ""primarily_steam_deck"": false}"
14232789,76561198105488792,"Cool, but a lot of things are just copied from Far Cry 3.",1422576080,1422576080,1,0.529411792755127,3559,1243,1745036746,"{""recommendationid"": ""14232789"", ""author"": {""steamid"": ""76561198105488792"", ""num_games_owned"": 0, ""num_reviews"": 2, ""playtime_forever"": 3559, ""playtime_last_two_weeks"": 0, ""playtime_at_review"": 1243, ""last_played"": 1745036746}, ""language"": ""english"", ""review"": ""Cool, but a lot of things are just copied from Far Cry 3."", ""timestamp_created"": 1422576080, ""timestamp_updated"": 1422576080, ""voted_up"": true, ""votes_up"": 1, ""votes_funny"": 0, ""weighted_vote_score"": ""0.529411792755126953"", ""comment_count"": 0, ""steam_purchase"": true, ""received_for_free"": false, ""written_during_early_access"": false, ""primarily_steam_deck"": false}"
14231736,76561198140287102,"'Looks like Far Cry 3' . Believe me its much better. Trying to find all those lost letters, MG journals and masks; discovering all ?s, it is amazing exploration experience. If you wanna do something crazy, try the Shanath Arena at hardest difficulty, it may seem easy at the beginning, but as you reach the higher levels, final rounds become totally vicious.
Hunting is hard mostly, except you are using a signature (Buzzsaw for example makes it sooo easy)
Bell towers are guarded in Northern Kyrat (some are heavily) and quite challenging to reach the top.
Outposts are not that easy to liberate. Fortresses turn into high quality action movie if you are noticed by your enemies, even the dogs.
Hunters are dangerous. It is great to have a sneaky enemy like that.
Eagles, rhinos, demon fishes and honeybadgers are completely annoying, but it makes the game even better.
You can ride an elephant and bash your enemies. 
Only thing annoying for me is distance optimization. That map cannot be 8k meters from one end to the other. It is at least 20k and distance is shown correctly if it is short but long distances are totally incorrect.
If I could explore himalayas as much as I did in Kyrat and distances were correctly calculated, this game would be 10/10.
Now it is 9/10 as they release DLC missions in Himalayas.
Hunting, bomb defusing, eye for an eye, assasination,armed escort and golden path supplies missions are also great but nothing extraordinary (except hunting for supplies)
Characters except Ajay (I did not like him, Jason Brody would be amazing in this game) are nearly perfect.
Far Cry is an idea of letting you explore the new world they created in every single aspect. If you love open world games that does not come to an end easily, this is the game you've been looking for. Trust me!
",1422570509,1422570509,1,0.5,6932,5050,1461945811,"{""recommendationid"": ""14231736"", ""author"": {""steamid"": ""76561198140287102"", ""num_games_owned"": 0, ""num_reviews"": 1, ""playtime_forever"": 6932, ""playtime_last_two_weeks"": 0, ""playtime_at_review"": 5050, ""last_played"": 1461945811}, ""language"": ""english"", ""review"": ""'Looks like Far Cry 3' . Believe me its much better. Trying to find all those lost letters, MG journals and masks; discovering all ?s, it is amazing exploration experience. If you wanna do something crazy, try the Shanath Arena at hardest difficulty, it may seem easy at the beginning, but as you reach the higher levels, final rounds become totally vicious.\nHunting is hard mostly, except you are using a signature (Buzzsaw for example makes it sooo easy)\nBell towers are guarded in Northern Kyrat (some are heavily) and quite challenging to reach the top.\nOutposts are not that easy to liberate. Fortresses turn into high quality action movie if you are noticed by your enemies, even the dogs.\nHunters are dangerous. It is great to have a sneaky enemy like that.\nEagles, rhinos, demon fishes and honeybadgers are completely annoying, but it makes the game even better.\nYou can ride an elephant and bash your enemies. \nOnly thing annoying for me is distance optimization. That map cannot be 8k meters from one end to the other. It is at least 20k and distance is shown correctly if it is short but long distances are totally incorrect.\nIf I could explore himalayas as much as I did in Kyrat and distances were correctly calculated, this game would be 10/10.\nNow it is 9/10 as they release DLC missions in Himalayas.\nHunting, bomb defusing, eye for an eye, assasination,armed escort and golden path supplies missions are also great but nothing extraordinary (except hunting for supplies)\nCharacters except Ajay (I did not like him, Jason Brody would be amazing in this game) are nearly perfect.\nFar Cry is an idea of letting you explore the new world they created in every single aspect. If you love open world games that does not come to an end easily, this is the game you've been looking for. Trust me!\n"", ""timestamp_created"": 1422570509, ""timestamp_updated"": 1422570509, ""voted_up"": true, ""votes_up"": 0, ""votes_funny"": 0, ""weighted_vote_score"": 0.5, ""comment_count"": 0, ""steam_purchase"": true, ""received_for_free"": false, ""written_during_early_access"": false, ""primarily_steam_deck"": false}"
14230785,76561198050062262,"A nice DLC pack nothing else, it's quite disturbing how little new content is achieved in a whole new title. You pay £40($60) for a new map, albeit a pretty map, but never the less a new map. New weapons are few and far between with most weapons of all types being direct imports from Far Cry 3, for the first have of the game nearly all weapons are direct cones or reskins. Skills..... once again shockingly for a NEW game nearly all the ""perks or skills""are reused from Far Cry 3 which is disapointing. 

All in all this game could have been so much and it had so much potential but it was wasted by a lazy game developement company. Still a fun game....because it is Far Cry 3",1422565844,1422565844,0,0.5,2553,2386,1505404118,"{""recommendationid"": ""14230785"", ""author"": {""steamid"": ""76561198050062262"", ""num_games_owned"": 0, ""num_reviews"": 9, ""playtime_forever"": 2553, ""playtime_last_two_weeks"": 0, ""playtime_at_review"": 2386, ""last_played"": 1505404118}, ""language"": ""english"", ""review"": ""A nice DLC pack nothing else, it's quite disturbing how little new content is achieved in a whole new title. You pay £40($60) for a new map, albeit a pretty map, but never the less a new map. New weapons are few and far between with most weapons of all types being direct imports from Far Cry 3, for the first have of the game nearly all weapons are direct cones or reskins. Skills..... once again shockingly for a NEW game nearly all the \""perks or skills\""are reused from Far Cry 3 which is disapointing. \n\nAll in all this game could have been so much and it had so much potential but it was wasted by a lazy game developement company. Still a fun game....because it is Far Cry 3"", ""timestamp_created"": 1422565844, ""timestamp_updated"": 1422565844, ""voted_up"": false, ""votes_up"": 0, ""votes_funny"": 0, ""weighted_vote_score"": 0.5, ""comment_count"": 0, ""steam_purchase"": true, ""received_for_free"": false, ""written_during_early_access"": false, ""primarily_steam_deck"": false}"
14229304,76561198011984060,"If you liked FC3, this game is for you. If you diddn't like FC3, Well i think the choice is obvious.

The story is garbage, apperantly it was written when people still thought ISIS were brave rebels fighting the evil syrian government, so basically you fight FOR indian ISIS. The individual rebels are pretty nice guys, but the generals Amita and Sabal are both tools. It's a real bummer you can'r Rebel and take down the golden path. The radio host is pretty annoying too. He keeps dickriding obama, and telling us that we need to get rid of guns in a country full og psychopathic rhinos, corrupt government forces and evil spirits that melt with a 9mm to the face. So, if you nightly watch the daily show and aren't infuriated by the half stories you hear, you shouldn't really have a problem with it.

Then we get to your character, Ajay Ghale. He has no character. Similar to Jason Brody, he really has no character. Is this a bad thing? Looking at every other character in the game save for Pagan, no. This way, he's not ruined.

If you diddn't like crafting in FC3, i got bad news for ya. In FC4, there are animals that only appear in the 2nd half. And that's not even including the special animals. It's really annoying having to be low on ammo all the time for half the game, or not have enough explosives as you'd need  because clouded lepoards won't appear.

Enemy troops are a alot tougher. In FC3, i don't remember them gunbutting you flat onto your butt, which these ones will do anytime you get within 5 feet of them. Then you have a standing up animation that takes away your ability to fire for 1 second after standing up, in which case you will of lsot half your health. If you remember the heavy gunners, they're now all over. And 1/3rd through the game, their helmets are part of their outfit, so you can no longer knock it off for an easy headshot.

There's a new enemy type that charms animals, can't be tracked, can see you through foliage and shots arrows that hurt like sniper rifle bullets. Have fun with that!

Weapon wise, there's a few additions, like a webley and a mauser, Most weapons still have terrible addition restrictions nerfing them into neigh unusability(No supp. for SVD, Only 1 add-on for SG550, ect). There's patches avaliable on a quick google search, but still. The new weapons range from useful like the MG42, the auto-crossbow, the compound bow and the new grenade launcher, to useless like the Webley and the Mauser. Hit detections gets a bit iffy at times too. I can't even count how many times i've lined up a clean headshot only to have ot phase through.

Animals in the game are OP as crap. a honey badger can take 10 5.56mm rounds to the face before it goes down. Headshots aren't 1-hit kills unless they're large calibur, It's frustrating to say the least. They also added cliffracers in the form of eagles. Have fun with that!

There's alot more options in the game now for predator gameplay. You can now throw bait to make a predatory animal spawn such as a tiger or a honey badger, You can ride elephants, you can throw knives for a semi-long distance takedown, You can move bodies as to not tip off enemies, or make a bodypile. Grenades can be toggled to be sticky, as can C4 and Proxy mines(VERY useful!) The wingsuit is avaliable almost immediatly and us utilized oftenm and there's an auto-chute deploy feature! No more stupid  foot fall deaths!

All in all, this game is an improved version of FC3. The only thing FC3 had that this game doesn't was a much better no-syringe heal system, as in you could almost fully heal with one arm-wrap. This is a very good game

All in all, i'd reccomend this game. 8/10,",1422559805,1422559805,1,0.4822732210159302,7029,4761,1497910091,"{""recommendationid"": ""14229304"", ""author"": {""steamid"": ""76561198011984060"", ""num_games_owned"": 415, ""num_reviews"": 47, ""playtime_forever"": 7029, ""playtime_last_two_weeks"": 0, ""playtime_at_review"": 4761, ""last_played"": 1497910091}, ""language"": ""english"", ""review"": ""If you liked FC3, this game is for you. If you diddn't like FC3, Well i think the choice is obvious.\n\nThe story is garbage, apperantly it was written when people still thought ISIS were brave rebels fighting the evil syrian government, so basically you fight FOR indian ISIS. The individual rebels are pretty nice guys, but the generals Amita and Sabal are both tools. It's a real bummer you can'r Rebel and take down the golden path. The radio host is pretty annoying too. He keeps dickriding obama, and telling us that we need to get rid of guns in a country full og psychopathic rhinos, corrupt government forces and evil spirits that melt with a 9mm to the face. So, if you nightly watch the daily show and aren't infuriated by the half stories you hear, you shouldn't really have a problem with it.\n\nThen we get to your character, Ajay Ghale. He has no character. Similar to Jason Brody, he really has no character. Is this a bad thing? Looking at every other character in the game save for Pagan, no. This way, he's not ruined.\n\nIf you diddn't like crafting in FC3, i got bad news for ya. In FC4, there are animals that only appear in the 2nd half. And that's not even including the special animals. It's really annoying having to be low on ammo all the time for half the game, or not have enough explosives as you'd need  because clouded lepoards won't appear.\n\nEnemy troops are a alot tougher. In FC3, i don't remember them gunbutting you flat onto your butt, which these ones will do anytime you get within 5 feet of them. Then you have a standing up animation that takes away your ability to fire for 1 second after standing up, in which case you will of lsot half your health. If you remember the heavy gunners, they're now all over. And 1/3rd through the game, their helmets are part of their outfit, so you can no longer knock it off for an easy headshot.\n\nThere's a new enemy type that charms animals, can't be tracked, can see you through foliage and shots arrows that hurt like sniper rifle bullets. Have fun with that!\n\nWeapon wise, there's a few additions, like a webley and a mauser, Most weapons still have terrible addition restrictions nerfing them into neigh unusability(No supp. for SVD, Only 1 add-on for SG550, ect). There's patches avaliable on a quick google search, but still. The new weapons range from useful like the MG42, the auto-crossbow, the compound bow and the new grenade launcher, to useless like the Webley and the Mauser. Hit detections gets a bit iffy at times too. I can't even count how many times i've lined up a clean headshot only to have ot phase through.\n\nAnimals in the game are OP as crap. a honey badger can take 10 5.56mm rounds to the face before it goes down. Headshots aren't 1-hit kills unless they're large calibur, It's frustrating to say the least. They also added cliffracers in the form of eagles. Have fun with that!\n\nThere's alot more options in the game now for predator gameplay. You can now throw bait to make a predatory animal spawn such as a tiger or a honey badger, You can ride elephants, you can throw knives for a semi-long distance takedown, You can move bodies as to not tip off enemies, or make a bodypile. Grenades can be toggled to be sticky, as can C4 and Proxy mines(VERY useful!) The wingsuit is avaliable almost immediatly and us utilized oftenm and there's an auto-chute deploy feature! No more stupid  foot fall deaths!\n\nAll in all, this game is an improved version of FC3. The only thing FC3 had that this game doesn't was a much better no-syringe heal system, as in you could almost fully heal with one arm-wrap. This is a very good game\n\nAll in all, i'd reccomend this game. 8/10,"", ""timestamp_created"": 1422559805, ""timestamp_updated"": 1422559805, ""voted_up"": true, ""votes_up"": 0, ""votes_funny"": 0, ""weighted_vote_score"": ""0.482273221015930176"", ""comment_count"": 0, ""steam_purchase"": true, ""received_for_free"": false, ""written_during_early_access"": false, ""primarily_steam_deck"": false}"
14227768,76561198093803566,"10 out of 10
",1422553467,1422553467,1,0.5,7381,5636,1495280624,"{""recommendationid"": ""14227768"", ""author"": {""steamid"": ""76561198093803566"", ""num_games_owned"": 0, ""num_reviews"": 3, ""playtime_forever"": 7381, ""playtime_last_two_weeks"": 0, ""playtime_at_review"": 5636, ""last_played"": 1495280624}, ""language"": ""english"", ""review"": ""10 out of 10\n"", ""timestamp_created"": 1422553467, ""timestamp_updated"": 1422553467, ""voted_up"": true, ""votes_up"": 0, ""votes_funny"": 0, ""weighted_vote_score"": 0.5, ""comment_count"": 0, ""steam_purchase"": true, ""received_for_free"": false, ""written_during_early_access"": false, ""primarily_steam_deck"": false}"
14227750,76561197968370973,"I've put in almost 100 hours on this game, and will continue to play.  This is the best game I've played in a very long time.  The game is extremely playable, fun, great voice acting, awesome storyline and extremely re-playable.  There is only a little pathing in the story, just to keep up with the story line and have game continuum.  Even in that path though you have choices and different paths you can take that change the story and it's outcome.  And there are so many side stories and side quests to keep the action as interesting as you want it to be.  Highly recommended!  I hope the voice actors are nominated for awards on this one!

",1422553380,1422553380,1,0.4716981053352356,6375,4820,1522104235,"{""recommendationid"": ""14227750"", ""author"": {""steamid"": ""76561197968370973"", ""num_games_owned"": 0, ""num_reviews"": 18, ""playtime_forever"": 6375, ""playtime_last_two_weeks"": 0, ""playtime_at_review"": 4820, ""last_played"": 1522104235}, ""language"": ""english"", ""review"": ""I've put in almost 100 hours on this game, and will continue to play.  This is the best game I've played in a very long time.  The game is extremely playable, fun, great voice acting, awesome storyline and extremely re-playable.  There is only a little pathing in the story, just to keep up with the story line and have game continuum.  Even in that path though you have choices and different paths you can take that change the story and it's outcome.  And there are so many side stories and side quests to keep the action as interesting as you want it to be.  Highly recommended!  I hope the voice actors are nominated for awards on this one!\n\n"", ""timestamp_created"": 1422553380, ""timestamp_updated"": 1422553380, ""voted_up"": true, ""votes_up"": 0, ""votes_funny"": 0, ""weighted_vote_score"": ""0.471698105335235596"", ""comment_count"": 0, ""steam_purchase"": true, ""received_for_free"": false, ""written_during_early_access"": false, ""primarily_steam_deck"": false}"
14226873,76561197970094946,"Farcry 3.5? Not really. It IS everything I loved about Far Cry 3, but better. I'd say this is a proper sequel, but a ""safe"" one.  It doesn't change the gameplay, but instead it adds more things to do.

The concensus is that the story of Far Cry 3 was more compelling - I agree. I just don't feel the same for Ajay Ghale as a I did for that other guy. Also, the choices you make throughout the game feel like they have very little impact except for the moment in which you make them. 

Far Cry 4 is still a great game. There are still outposts to conquer, with new larger outposts called strongholds. They added a controversial ""buzz copter"" to the game, which is a mini-helicopter. Personally, I loved the addition and made plotting my attack on outposts more enjoyable. In fact, the entire game has an added verticality - it takes place in a mountainous environment which allows for rope climbing and longer wingsuit flight.

Unfortunately, I haven't had a chance to try out the co-op, but taking down outposts with your friends sounds amazing. Also, with the addition of user-made maps there is a huge number of things to do outside of the regular game.

Lastly, if you have the computer for it: this game is the most gorgeous game I've played in a while. At 1440p 60+ fps it's breathtaking.

",1422549848,1422549848,1,0.5024875402450562,7475,3498,1485597747,"{""recommendationid"": ""14226873"", ""author"": {""steamid"": ""76561197970094946"", ""num_games_owned"": 2957, ""num_reviews"": 249, ""playtime_forever"": 7475, ""playtime_last_two_weeks"": 0, ""playtime_at_review"": 3498, ""last_played"": 1485597747}, ""language"": ""english"", ""review"": ""Farcry 3.5? Not really. It IS everything I loved about Far Cry 3, but better. I'd say this is a proper sequel, but a \""safe\"" one.  It doesn't change the gameplay, but instead it adds more things to do.\n\nThe concensus is that the story of Far Cry 3 was more compelling - I agree. I just don't feel the same for Ajay Ghale as a I did for that other guy. Also, the choices you make throughout the game feel like they have very little impact except for the moment in which you make them. \n\nFar Cry 4 is still a great game. There are still outposts to conquer, with new larger outposts called strongholds. They added a controversial \""buzz copter\"" to the game, which is a mini-helicopter. Personally, I loved the addition and made plotting my attack on outposts more enjoyable. In fact, the entire game has an added verticality - it takes place in a mountainous environment which allows for rope climbing and longer wingsuit flight.\n\nUnfortunately, I haven't had a chance to try out the co-op, but taking down outposts with your friends sounds amazing. Also, with the addition of user-made maps there is a huge number of things to do outside of the regular game.\n\nLastly, if you have the computer for it: this game is the most gorgeous game I've played in a while. At 1440p 60+ fps it's breathtaking.\n\n"", ""timestamp_created"": 1422549848, ""timestamp_updated"": 1422549848, ""voted_up"": true, ""votes_up"": 1, ""votes_funny"": 0, ""weighted_vote_score"": ""0.502487540245056152"", ""comment_count"": 0, ""steam_purchase"": true, ""received_for_free"": false, ""written_during_early_access"": false, ""primarily_steam_deck"": false}"
14224516,76561198021481449,"For those who loved Far Cry 3, this is basically the same thing but Next-Gen and with a new story/climate.",1422539308,1422539308,1,0.5,2387,1630,1587408622,"{""recommendationid"": ""14224516"", ""author"": {""steamid"": ""76561198021481449"", ""num_games_owned"": 0, ""num_reviews"": 19, ""playtime_forever"": 2387, ""playtime_last_two_weeks"": 0, ""playtime_at_review"": 1630, ""last_played"": 1587408622}, ""language"": ""english"", ""review"": ""For those who loved Far Cry 3, this is basically the same thing but Next-Gen and with a new story/climate."", ""timestamp_created"": 1422539308, ""timestamp_updated"": 1422539308, ""voted_up"": true, ""votes_up"": 0, ""votes_funny"": 3, ""weighted_vote_score"": 0.5, ""comment_count"": 0, ""steam_purchase"": true, ""received_for_free"": false, ""written_during_early_access"": false, ""primarily_steam_deck"": false}"
