recommendationid,steamid,review,timestamp_created,timestamp_updated,voted_up,weighted_vote_score,playtime_forever,playtime_at_review,last_played,raw_json
74427813,76561198143193925,⁣,1597618187,1597618187,0,0.4952380955219269,216,216,1596310998,"{""recommendationid"": ""74427813"", ""author"": {""steamid"": ""76561198143193925"", ""num_games_owned"": 0, ""num_reviews"": 11, ""playtime_forever"": 216, ""playtime_last_two_weeks"": 0, ""playtime_at_review"": 216, ""last_played"": 1596310998}, ""language"": ""english"", ""review"": ""⁣"", ""timestamp_created"": 1597618187, ""timestamp_updated"": 1597618187, ""voted_up"": false, ""votes_up"": 3, ""votes_funny"": 1, ""weighted_vote_score"": ""0.49523809552192688"", ""comment_count"": 0, ""steam_purchase"": false, ""received_for_free"": false, ""written_during_early_access"": false, ""primarily_steam_deck"": false}"
74404099,76561198063678603,"Great Game 8/10 Has a few bugs during missions, but can be fixed simply by exiting and restarting the game. Lot's of extra thing to do as well as a decent storyline",1597585004,1597585004,1,0.5064805746078491,2726,1887,1598799962,"{""recommendationid"": ""74404099"", ""author"": {""steamid"": ""76561198063678603"", ""num_games_owned"": 0, ""num_reviews"": 4, ""playtime_forever"": 2726, ""playtime_last_two_weeks"": 0, ""playtime_at_review"": 1887, ""last_played"": 1598799962}, ""language"": ""english"", ""review"": ""Great Game 8/10 Has a few bugs during missions, but can be fixed simply by exiting and restarting the game. Lot's of extra thing to do as well as a decent storyline"", ""timestamp_created"": 1597585004, ""timestamp_updated"": 1597585004, ""voted_up"": true, ""votes_up"": 1, ""votes_funny"": 0, ""weighted_vote_score"": ""0.506480574607849121"", ""comment_count"": 0, ""steam_purchase"": true, ""received_for_free"": false, ""written_during_early_access"": false, ""primarily_steam_deck"": false}"
74386930,76561198997063439,"I have a lot of love for this game. Played through it a couple times on console and now going through it again on PC. I fully acknowledge its shortcomings, the repetitive mission structure, all that stuff you can read about in other reviews on here, but the sixties era, the New Orleans-esque setting, the memorable characters, and the excellent story easily outweigh all of that for me.

Lincoln Clay is one of my all-time favorite game protagonists and the perspective provided by playing as a black man in the south in the 1960s makes this more than a wannabe GTA clone. If you enjoy crime stories, revenge stories, or the catharsis of shooting up a Klan gathering, give this one a shot. 

Change up your own approach to the same-y missions to keep them varied (go stealth, swap out the weapons you use, etc.) and enjoy the more fleshed out missions that cap each chapter as you tear down a criminal empire and build your own in its place. 

Not perfect, but absolutely worth a play.",1597557454,1597557454,1,0.5064805746078491,426,244,1601434989,"{""recommendationid"": ""74386930"", ""author"": {""steamid"": ""76561198997063439"", ""num_games_owned"": 241, ""num_reviews"": 27, ""playtime_forever"": 426, ""playtime_last_two_weeks"": 0, ""playtime_at_review"": 244, ""last_played"": 1601434989}, ""language"": ""english"", ""review"": ""I have a lot of love for this game. Played through it a couple times on console and now going through it again on PC. I fully acknowledge its shortcomings, the repetitive mission structure, all that stuff you can read about in other reviews on here, but the sixties era, the New Orleans-esque setting, the memorable characters, and the excellent story easily outweigh all of that for me.\n\nLincoln Clay is one of my all-time favorite game protagonists and the perspective provided by playing as a black man in the south in the 1960s makes this more than a wannabe GTA clone. If you enjoy crime stories, revenge stories, or the catharsis of shooting up a Klan gathering, give this one a shot. \n\nChange up your own approach to the same-y missions to keep them varied (go stealth, swap out the weapons you use, etc.) and enjoy the more fleshed out missions that cap each chapter as you tear down a criminal empire and build your own in its place. \n\nNot perfect, but absolutely worth a play."", ""timestamp_created"": 1597557454, ""timestamp_updated"": 1597557454, ""voted_up"": true, ""votes_up"": 1, ""votes_funny"": 0, ""weighted_vote_score"": ""0.506480574607849121"", ""comment_count"": 0, ""steam_purchase"": false, ""received_for_free"": false, ""written_during_early_access"": false, ""primarily_steam_deck"": false}"
74384357,76561198145044995,If you can get it on massive sale do it i mean like 5 dollars because that's all this games worth for all the bugs and graphical glitches it got unplayable. On the other hand the story is pretty good but gets destroyed  by all the glitches and looking like a ps2 game besides the cut scenes those look pretty nice.,1597552930,1639389149,0,0.5,2899,2899,1639203315,"{""recommendationid"": ""74384357"", ""author"": {""steamid"": ""76561198145044995"", ""num_games_owned"": 0, ""num_reviews"": 10, ""playtime_forever"": 2899, ""playtime_last_two_weeks"": 0, ""playtime_at_review"": 2899, ""last_played"": 1639203315}, ""language"": ""english"", ""review"": ""If you can get it on massive sale do it i mean like 5 dollars because that's all this games worth for all the bugs and graphical glitches it got unplayable. On the other hand the story is pretty good but gets destroyed  by all the glitches and looking like a ps2 game besides the cut scenes those look pretty nice."", ""timestamp_created"": 1597552930, ""timestamp_updated"": 1639389149, ""voted_up"": false, ""votes_up"": 0, ""votes_funny"": 0, ""weighted_vote_score"": 0.5, ""comment_count"": 0, ""steam_purchase"": false, ""received_for_free"": false, ""written_during_early_access"": false, ""primarily_steam_deck"": false}"
74373711,76561198043655647,"Mafia III is not the worst AAA to release but it is pretty bad. It's a shame because the first two hours are some of the best gaming has to offer. It's a great example of how the introduction/tutorial phase should be done, instead of bombarding you with text or teaching you the controls in the most boring way possible. The soundtrack, setting and characters are also very well done. Unfortunately that's where the good stops at, after the first two hours the ""real"" game play starts, and it's more or less the same thing over and over again until the end. 

At release the game was plagued by performance issues which have for the most part been fixed. Mirror reflections however are still worse than most games from the early 2000s. I only really ran into 1 bug: raising or lowering the volume (via the audio controls on my K70 LUX keyboard) caused the game to drop to 30 fps for a couple of seconds.

Get it on a DEEP sale if you don't mind repetitive game play.",1597533576,1597533690,0,0.7282058596611023,721,721,1597524471,"{""recommendationid"": ""74373711"", ""author"": {""steamid"": ""76561198043655647"", ""num_games_owned"": 10737, ""num_reviews"": 246, ""playtime_forever"": 721, ""playtime_last_two_weeks"": 0, ""playtime_at_review"": 721, ""last_played"": 1597524471}, ""language"": ""english"", ""review"": ""Mafia III is not the worst AAA to release but it is pretty bad. It's a shame because the first two hours are some of the best gaming has to offer. It's a great example of how the introduction/tutorial phase should be done, instead of bombarding you with text or teaching you the controls in the most boring way possible. The soundtrack, setting and characters are also very well done. Unfortunately that's where the good stops at, after the first two hours the \""real\"" game play starts, and it's more or less the same thing over and over again until the end. \n\nAt release the game was plagued by performance issues which have for the most part been fixed. Mirror reflections however are still worse than most games from the early 2000s. I only really ran into 1 bug: raising or lowering the volume (via the audio controls on my K70 LUX keyboard) caused the game to drop to 30 fps for a couple of seconds.\n\nGet it on a DEEP sale if you don't mind repetitive game play."", ""timestamp_created"": 1597533576, ""timestamp_updated"": 1597533690, ""voted_up"": false, ""votes_up"": 47, ""votes_funny"": 1, ""weighted_vote_score"": ""0.728205859661102295"", ""comment_count"": 3, ""steam_purchase"": false, ""received_for_free"": false, ""written_during_early_access"": false, ""primarily_steam_deck"": false}"
74370872,76561198112477678,gud,1597528365,1597528365,1,0.45526018738746643,15352,6031,1756707485,"{""recommendationid"": ""74370872"", ""author"": {""steamid"": ""76561198112477678"", ""num_games_owned"": 308, ""num_reviews"": 146, ""playtime_forever"": 15352, ""playtime_last_two_weeks"": 0, ""playtime_at_review"": 6031, ""last_played"": 1756707485}, ""language"": ""english"", ""review"": ""gud"", ""timestamp_created"": 1597528365, ""timestamp_updated"": 1597528365, ""voted_up"": true, ""votes_up"": 0, ""votes_funny"": 0, ""weighted_vote_score"": ""0.455260187387466431"", ""comment_count"": 0, ""steam_purchase"": true, ""received_for_free"": false, ""written_during_early_access"": false, ""primarily_steam_deck"": false}"
74368499,76561197968528634,"Lots of content, slightly repetetive at times but still fun.",1597524589,1597524589,1,0.5,2789,1557,1599929259,"{""recommendationid"": ""74368499"", ""author"": {""steamid"": ""76561197968528634"", ""num_games_owned"": 72, ""num_reviews"": 1, ""playtime_forever"": 2789, ""playtime_last_two_weeks"": 0, ""playtime_at_review"": 1557, ""last_played"": 1599929259}, ""language"": ""english"", ""review"": ""Lots of content, slightly repetetive at times but still fun."", ""timestamp_created"": 1597524589, ""timestamp_updated"": 1597524589, ""voted_up"": true, ""votes_up"": 0, ""votes_funny"": 0, ""weighted_vote_score"": 0.5, ""comment_count"": 0, ""steam_purchase"": true, ""received_for_free"": false, ""written_during_early_access"": false, ""primarily_steam_deck"": false}"
74354570,76561198019116801,"Big fan of the first two mafia games this one was a complete shitshow. Story was bland and boring. Spend most of the time completing the same 3-4 missions reskinned with different enemies. Audio and Physics bugs consistant throughout and ofcourse the constant virtue signalling you'd expect from any modern game with a black main character set in the 60s. 

2/10 so glad its fucking over.",1597505615,1597505615,0,0.4533333480358124,2284,2284,1597505434,"{""recommendationid"": ""74354570"", ""author"": {""steamid"": ""76561198019116801"", ""num_games_owned"": 128, ""num_reviews"": 1, ""playtime_forever"": 2284, ""playtime_last_two_weeks"": 0, ""playtime_at_review"": 2284, ""last_played"": 1597505434}, ""language"": ""english"", ""review"": ""Big fan of the first two mafia games this one was a complete shitshow. Story was bland and boring. Spend most of the time completing the same 3-4 missions reskinned with different enemies. Audio and Physics bugs consistant throughout and ofcourse the constant virtue signalling you'd expect from any modern game with a black main character set in the 60s. \n\n2/10 so glad its fucking over."", ""timestamp_created"": 1597505615, ""timestamp_updated"": 1597505615, ""voted_up"": false, ""votes_up"": 0, ""votes_funny"": 0, ""weighted_vote_score"": ""0.453333348035812378"", ""comment_count"": 0, ""steam_purchase"": true, ""received_for_free"": false, ""written_during_early_access"": false, ""primarily_steam_deck"": false}"
74350742,76561198419887707,"the reason i wouldn't recommend this game is because the game performance is poor as they haven't changed anything, the chrome on cars is pathetic, the overall blurry look the game has is pathetic, things rendering in and out of the game is again pathetic, fix this god damn game, you have other people doing your job. simple reshade the game, get rid of those horrible squires in the clouds, and those blurry scenes that keep changing as if he cannot render properly, absolute poor service this game has had, i would love to play this game all the way through but my eyes are struggling to determine what is what, everything seems to blend into each other even with anisotropic filtering at 16x. this has been a occurring issue since the games release and still haven't fixed it in the definitive edition. if the developers are blind to this then i won't be buying another game from them, absolute disgrace as people had reported this issue multiple times, good game just the dev's don't care.",1597500436,1597500436,0,0.5,1611,207,1598181919,"{""recommendationid"": ""74350742"", ""author"": {""steamid"": ""76561198419887707"", ""num_games_owned"": 143, ""num_reviews"": 5, ""playtime_forever"": 1611, ""playtime_last_two_weeks"": 0, ""playtime_at_review"": 207, ""last_played"": 1598181919}, ""language"": ""english"", ""review"": ""the reason i wouldn't recommend this game is because the game performance is poor as they haven't changed anything, the chrome on cars is pathetic, the overall blurry look the game has is pathetic, things rendering in and out of the game is again pathetic, fix this god damn game, you have other people doing your job. simple reshade the game, get rid of those horrible squires in the clouds, and those blurry scenes that keep changing as if he cannot render properly, absolute poor service this game has had, i would love to play this game all the way through but my eyes are struggling to determine what is what, everything seems to blend into each other even with anisotropic filtering at 16x. this has been a occurring issue since the games release and still haven't fixed it in the definitive edition. if the developers are blind to this then i won't be buying another game from them, absolute disgrace as people had reported this issue multiple times, good game just the dev's don't care."", ""timestamp_created"": 1597500436, ""timestamp_updated"": 1597500436, ""voted_up"": false, ""votes_up"": 0, ""votes_funny"": 0, ""weighted_vote_score"": 0.5, ""comment_count"": 0, ""steam_purchase"": false, ""received_for_free"": false, ""written_during_early_access"": false, ""primarily_steam_deck"": false}"
74347809,76561199022953080,"good story but the gameplay so repetitive after you play the prolog mission, btw you can see my walkthourgh on my channel 

https://www.youtube.com/watch?v=gPjdlH6f1GM&list=PLk0RlWhEcBuD47LvA2yB7xzaLn5Aqt5qx",1597496532,1597496532,0,0.5,2364,2285,1713356527,"{""recommendationid"": ""74347809"", ""author"": {""steamid"": ""76561199022953080"", ""num_games_owned"": 129, ""num_reviews"": 29, ""playtime_forever"": 2364, ""playtime_last_two_weeks"": 0, ""playtime_at_review"": 2285, ""last_played"": 1713356527}, ""language"": ""english"", ""review"": ""good story but the gameplay so repetitive after you play the prolog mission, btw you can see my walkthourgh on my channel \n\nhttps://www.youtube.com/watch?v=gPjdlH6f1GM&list=PLk0RlWhEcBuD47LvA2yB7xzaLn5Aqt5qx"", ""timestamp_created"": 1597496532, ""timestamp_updated"": 1597496532, ""voted_up"": false, ""votes_up"": 0, ""votes_funny"": 0, ""weighted_vote_score"": 0.5, ""comment_count"": 0, ""steam_purchase"": true, ""received_for_free"": false, ""written_during_early_access"": false, ""primarily_steam_deck"": false}"
