recommendationid,steamid,review,timestamp_created,timestamp_updated,voted_up,weighted_vote_score,playtime_forever,playtime_at_review,last_played,raw_json
98137385,76561198974152562,mmmm yes fun game,1629793664,1629793664,1,0.5,422,377,1629796293,"{""recommendationid"": ""98137385"", ""author"": {""steamid"": ""76561198974152562"", ""num_games_owned"": 75, ""num_reviews"": 30, ""playtime_forever"": 422, ""playtime_last_two_weeks"": 0, ""playtime_at_review"": 377, ""last_played"": 1629796293}, ""language"": ""english"", ""review"": ""mmmm yes fun game"", ""timestamp_created"": 1629793664, ""timestamp_updated"": 1629793664, ""voted_up"": true, ""votes_up"": 0, ""votes_funny"": 0, ""weighted_vote_score"": 0.5, ""comment_count"": 0, ""steam_purchase"": true, ""received_for_free"": false, ""written_during_early_access"": false, ""primarily_steam_deck"": false}"
98138341,76561198988403227,?,1629795345,1629795345,1,0.5,1756,726,1671357798,"{""recommendationid"": ""98138341"", ""author"": {""steamid"": ""76561198988403227"", ""num_games_owned"": 0, ""num_reviews"": 2, ""playtime_forever"": 1756, ""playtime_last_two_weeks"": 0, ""playtime_at_review"": 726, ""last_played"": 1671357798}, ""language"": ""schinese"", ""review"": ""?"", ""timestamp_created"": 1629795345, ""timestamp_updated"": 1629795345, ""voted_up"": true, ""votes_up"": 0, ""votes_funny"": 0, ""weighted_vote_score"": 0.5, ""comment_count"": 0, ""steam_purchase"": true, ""received_for_free"": true, ""written_during_early_access"": false, ""primarily_steam_deck"": false}"
98142206,76561199111169536,"Watch Dogs 2
",1629801839,1629801839,1,0.5,3639,1767,1642132468,"{""recommendationid"": ""98142206"", ""author"": {""steamid"": ""76561199111169536"", ""num_games_owned"": 57, ""num_reviews"": 13, ""playtime_forever"": 3639, ""playtime_last_two_weeks"": 0, ""playtime_at_review"": 1767, ""last_played"": 1642132468}, ""language"": ""schinese"", ""review"": ""Watch Dogs 2\n"", ""timestamp_created"": 1629801839, ""timestamp_updated"": 1629801839, ""voted_up"": true, ""votes_up"": 0, ""votes_funny"": 0, ""weighted_vote_score"": 0.5, ""comment_count"": 0, ""steam_purchase"": true, ""received_for_free"": false, ""written_during_early_access"": false, ""primarily_steam_deck"": false}"
98146991,76561198397535408,剧情无聊至极，驾驶手感糟糕，只能当个旅游模拟器,1629808842,1742486794,0,0.5,3119,3119,1740330215,"{""recommendationid"": ""98146991"", ""author"": {""steamid"": ""76561198397535408"", ""num_games_owned"": 1690, ""num_reviews"": 175, ""playtime_forever"": 3119, ""playtime_last_two_weeks"": 0, ""playtime_at_review"": 3119, ""last_played"": 1740330215}, ""language"": ""schinese"", ""review"": ""剧情无聊至极，驾驶手感糟糕，只能当个旅游模拟器"", ""timestamp_created"": 1629808842, ""timestamp_updated"": 1742486794, ""voted_up"": false, ""votes_up"": 0, ""votes_funny"": 0, ""weighted_vote_score"": 0.5, ""comment_count"": 0, ""steam_purchase"": true, ""received_for_free"": false, ""written_during_early_access"": false, ""primarily_steam_deck"": false}"
98147490,76561198451412441,"yyds
",1629809475,1629809475,1,0.523809552192688,1137,400,1674100622,"{""recommendationid"": ""98147490"", ""author"": {""steamid"": ""76561198451412441"", ""num_games_owned"": 50, ""num_reviews"": 2, ""playtime_forever"": 1137, ""playtime_last_two_weeks"": 0, ""playtime_at_review"": 400, ""last_played"": 1674100622}, ""language"": ""schinese"", ""review"": ""yyds\n"", ""timestamp_created"": 1629809475, ""timestamp_updated"": 1629809475, ""voted_up"": true, ""votes_up"": 1, ""votes_funny"": 0, ""weighted_vote_score"": ""0.523809552192687988"", ""comment_count"": 0, ""steam_purchase"": true, ""received_for_free"": false, ""written_during_early_access"": false, ""primarily_steam_deck"": false}"
98147513,76561198423063614,很好,1629809497,1629809497,1,0.5,7013,6339,1755134294,"{""recommendationid"": ""98147513"", ""author"": {""steamid"": ""76561198423063614"", ""num_games_owned"": 3, ""num_reviews"": 1, ""playtime_forever"": 7013, ""playtime_last_two_weeks"": 0, ""playtime_at_review"": 6339, ""last_played"": 1755134294}, ""language"": ""schinese"", ""review"": ""很好"", ""timestamp_created"": 1629809497, ""timestamp_updated"": 1629809497, ""voted_up"": true, ""votes_up"": 0, ""votes_funny"": 0, ""weighted_vote_score"": 0.5, ""comment_count"": 0, ""steam_purchase"": true, ""received_for_free"": false, ""written_during_early_access"": false, ""primarily_steam_deck"": false}"
98149287,76561198071096626,,1629811829,1629811829,1,0.5,2274,937,1672693604,"{""recommendationid"": ""98149287"", ""author"": {""steamid"": ""76561198071096626"", ""num_games_owned"": 0, ""num_reviews"": 70, ""playtime_forever"": 2274, ""playtime_last_two_weeks"": 0, ""playtime_at_review"": 937, ""last_played"": 1672693604}, ""language"": ""brazilian"", ""review"": """", ""timestamp_created"": 1629811829, ""timestamp_updated"": 1629811829, ""voted_up"": true, ""votes_up"": 0, ""votes_funny"": 0, ""weighted_vote_score"": 0.5, ""comment_count"": 0, ""steam_purchase"": false, ""received_for_free"": false, ""written_during_early_access"": false, ""primarily_steam_deck"": false}"
98154458,76561199129852566,"Probably my favorite game I have played, I played the first one and loved it and this is similar but different enought be very fun.  I never get tired of the missions, and there are always online events going on.  On top of everything else, the graphics are gorgeous and the game play is smooth, 10/10 would recommend, maybe wait for a sale",1629818140,1629818140,1,0.6044095754623413,3935,2606,1649723745,"{""recommendationid"": ""98154458"", ""author"": {""steamid"": ""76561199129852566"", ""num_games_owned"": 62, ""num_reviews"": 3, ""playtime_forever"": 3935, ""playtime_last_two_weeks"": 0, ""playtime_at_review"": 2606, ""last_played"": 1649723745}, ""language"": ""english"", ""review"": ""Probably my favorite game I have played, I played the first one and loved it and this is similar but different enought be very fun.  I never get tired of the missions, and there are always online events going on.  On top of everything else, the graphics are gorgeous and the game play is smooth, 10/10 would recommend, maybe wait for a sale"", ""timestamp_created"": 1629818140, ""timestamp_updated"": 1629818140, ""voted_up"": true, ""votes_up"": 13, ""votes_funny"": 2, ""weighted_vote_score"": ""0.604409575462341309"", ""comment_count"": 0, ""steam_purchase"": true, ""received_for_free"": false, ""written_during_early_access"": false, ""primarily_steam_deck"": false}"
98175548,76561198961042593,good game fun hack hack,1629845625,1629845625,1,0.5,2505,257,1641940916,"{""recommendationid"": ""98175548"", ""author"": {""steamid"": ""76561198961042593"", ""num_games_owned"": 0, ""num_reviews"": 3, ""playtime_forever"": 2505, ""playtime_last_two_weeks"": 0, ""playtime_at_review"": 257, ""last_played"": 1641940916}, ""language"": ""english"", ""review"": ""good game fun hack hack"", ""timestamp_created"": 1629845625, ""timestamp_updated"": 1629845625, ""voted_up"": true, ""votes_up"": 0, ""votes_funny"": 0, ""weighted_vote_score"": 0.5, ""comment_count"": 0, ""steam_purchase"": true, ""received_for_free"": false, ""written_during_early_access"": false, ""primarily_steam_deck"": false}"
98183496,76561199064803584,...,1629858371,1633062490,1,0.5,20642,9343,1748350786,"{""recommendationid"": ""98183496"", ""author"": {""steamid"": ""76561199064803584"", ""num_games_owned"": 0, ""num_reviews"": 1, ""playtime_forever"": 20642, ""playtime_last_two_weeks"": 0, ""playtime_at_review"": 9343, ""last_played"": 1748350786}, ""language"": ""schinese"", ""review"": ""..."", ""timestamp_created"": 1629858371, ""timestamp_updated"": 1633062490, ""voted_up"": true, ""votes_up"": 0, ""votes_funny"": 0, ""weighted_vote_score"": 0.5, ""comment_count"": 0, ""steam_purchase"": true, ""received_for_free"": false, ""written_during_early_access"": false, ""primarily_steam_deck"": false}"
