recommendationid,steamid,review,timestamp_created,timestamp_updated,voted_up,weighted_vote_score,playtime_forever,playtime_at_review,last_played,raw_json
11092332,76561198067728268,It didnt work Just buy the game from GameStop,1404601168,1404601168,0,0.5,589,227,1523745287,"{""recommendationid"": ""11092332"", ""author"": {""steamid"": ""76561198067728268"", ""num_games_owned"": 0, ""num_reviews"": 1, ""playtime_forever"": 589, ""playtime_last_two_weeks"": 0, ""playtime_at_review"": 227, ""last_played"": 1523745287}, ""language"": ""english"", ""review"": ""It didnt work Just buy the game from GameStop"", ""timestamp_created"": 1404601168, ""timestamp_updated"": 1404601168, ""voted_up"": false, ""votes_up"": 0, ""votes_funny"": 0, ""weighted_vote_score"": 0.5, ""comment_count"": 0, ""steam_purchase"": true, ""received_for_free"": false, ""written_during_early_access"": false, ""primarily_steam_deck"": false}"
11093969,76561198090002361,"Watch_Dogs is a highly addicting, but sometimes stressful game. The protagonist Aiden Pearce isn't a very fleshed out character, but the other characters make up for that ten fold. The hacking mechanic in this game is ridiculously fun, especailly hacking people's phones to listen in on their conversations and to blow up a transformer on the ground. My biggest gripe with this game is the difficulty. The gang hideouts, and missions with similar structure(hiding behind stuff, shooting, using cameras), are relatively easy. On the other hand, the driving missions are the most infuriating in any open world game I have ever played. The police are a lot like the police everyone knows and hates from Grand Theft Auto, where they try to run you off the road. On top of that the fixers will do the exact same thing. Often times I found myself throwing my headphones off in frusteration over these missions, but the majority of the game and the nail biting story kept me coming back for more. I would definitely highly reccomend this game, just be careful with the driving missions.",1404610063,1404610063,1,0.5,3333,1902,1527898933,"{""recommendationid"": ""11093969"", ""author"": {""steamid"": ""76561198090002361"", ""num_games_owned"": 0, ""num_reviews"": 15, ""playtime_forever"": 3333, ""playtime_last_two_weeks"": 0, ""playtime_at_review"": 1902, ""last_played"": 1527898933}, ""language"": ""english"", ""review"": ""Watch_Dogs is a highly addicting, but sometimes stressful game. The protagonist Aiden Pearce isn't a very fleshed out character, but the other characters make up for that ten fold. The hacking mechanic in this game is ridiculously fun, especailly hacking people's phones to listen in on their conversations and to blow up a transformer on the ground. My biggest gripe with this game is the difficulty. The gang hideouts, and missions with similar structure(hiding behind stuff, shooting, using cameras), are relatively easy. On the other hand, the driving missions are the most infuriating in any open world game I have ever played. The police are a lot like the police everyone knows and hates from Grand Theft Auto, where they try to run you off the road. On top of that the fixers will do the exact same thing. Often times I found myself throwing my headphones off in frusteration over these missions, but the majority of the game and the nail biting story kept me coming back for more. I would definitely highly reccomend this game, just be careful with the driving missions."", ""timestamp_created"": 1404610063, ""timestamp_updated"": 1404610063, ""voted_up"": true, ""votes_up"": 0, ""votes_funny"": 0, ""weighted_vote_score"": 0.5, ""comment_count"": 0, ""steam_purchase"": true, ""received_for_free"": false, ""written_during_early_access"": false, ""primarily_steam_deck"": false}"
11094718,76561198106082353,"Я не понимаю? Почему люди не любят эту игру? Грофон норм, сюжет тоже и озвучка нормальная.",1404614636,1404614636,1,0.5244956612586975,3663,1677,1416329849,"{""recommendationid"": ""11094718"", ""author"": {""steamid"": ""76561198106082353"", ""num_games_owned"": 0, ""num_reviews"": 9, ""playtime_forever"": 3663, ""playtime_last_two_weeks"": 0, ""playtime_at_review"": 1677, ""last_played"": 1416329849}, ""language"": ""russian"", ""review"": ""Я не понимаю? Почему люди не любят эту игру? Грофон норм, сюжет тоже и озвучка нормальная."", ""timestamp_created"": 1404614636, ""timestamp_updated"": 1404614636, ""voted_up"": true, ""votes_up"": 2, ""votes_funny"": 0, ""weighted_vote_score"": ""0.52449566125869751"", ""comment_count"": 0, ""steam_purchase"": false, ""received_for_free"": false, ""written_during_early_access"": false, ""primarily_steam_deck"": false}"
11096383,76561198016425494,Крутая вещь=) Советую всем,1404625685,1404625685,1,0.5,2790,2570,1447428041,"{""recommendationid"": ""11096383"", ""author"": {""steamid"": ""76561198016425494"", ""num_games_owned"": 0, ""num_reviews"": 30, ""playtime_forever"": 2790, ""playtime_last_two_weeks"": 0, ""playtime_at_review"": 2570, ""last_played"": 1447428041}, ""language"": ""russian"", ""review"": ""Крутая вещь=) Советую всем"", ""timestamp_created"": 1404625685, ""timestamp_updated"": 1404625685, ""voted_up"": true, ""votes_up"": 0, ""votes_funny"": 0, ""weighted_vote_score"": 0.5, ""comment_count"": 0, ""steam_purchase"": true, ""received_for_free"": false, ""written_during_early_access"": false, ""primarily_steam_deck"": false}"
11096402,76561198107114953,"뭐랄까..말이 필요없음ㅋ
아, 액트3~4정도 넘어가면 그때부턴 수배래벨이 1 이어도 항복기능이 안됨 (투항하는 척 하면서 블랙아웃시키는 모션이 안됨)
왜인지는 모르겠고..
스토리는 뭐....괜찮은거 같음.
",1404625807,1404625807,1,0.5,6234,4080,1422507943,"{""recommendationid"": ""11096402"", ""author"": {""steamid"": ""76561198107114953"", ""num_games_owned"": 0, ""num_reviews"": 16, ""playtime_forever"": 6234, ""playtime_last_two_weeks"": 0, ""playtime_at_review"": 4080, ""last_played"": 1422507943}, ""language"": ""koreana"", ""review"": ""뭐랄까..말이 필요없음ㅋ\n아, 액트3~4정도 넘어가면 그때부턴 수배래벨이 1 이어도 항복기능이 안됨 (투항하는 척 하면서 블랙아웃시키는 모션이 안됨)\n왜인지는 모르겠고..\n스토리는 뭐....괜찮은거 같음.\n"", ""timestamp_created"": 1404625807, ""timestamp_updated"": 1404625807, ""voted_up"": true, ""votes_up"": 0, ""votes_funny"": 0, ""weighted_vote_score"": 0.5, ""comment_count"": 0, ""steam_purchase"": true, ""received_for_free"": false, ""written_during_early_access"": false, ""primarily_steam_deck"": false}"
11099542,76561198030014777,Класс,1404645082,1404645082,1,0.5,1897,1838,1449858243,"{""recommendationid"": ""11099542"", ""author"": {""steamid"": ""76561198030014777"", ""num_games_owned"": 101, ""num_reviews"": 1, ""playtime_forever"": 1897, ""playtime_last_two_weeks"": 0, ""playtime_at_review"": 1838, ""last_played"": 1449858243}, ""language"": ""russian"", ""review"": ""Класс"", ""timestamp_created"": 1404645082, ""timestamp_updated"": 1404645082, ""voted_up"": true, ""votes_up"": 0, ""votes_funny"": 0, ""weighted_vote_score"": 0.5, ""comment_count"": 0, ""steam_purchase"": true, ""received_for_free"": false, ""written_during_early_access"": false, ""primarily_steam_deck"": false}"
11099653,76561198101726686,It is so great game i totally recommend it it is worth every penny,1404645669,1404645669,1,0.5,500,470,1461617625,"{""recommendationid"": ""11099653"", ""author"": {""steamid"": ""76561198101726686"", ""num_games_owned"": 0, ""num_reviews"": 2, ""playtime_forever"": 500, ""playtime_last_two_weeks"": 0, ""playtime_at_review"": 470, ""last_played"": 1461617625}, ""language"": ""english"", ""review"": ""It is so great game i totally recommend it it is worth every penny"", ""timestamp_created"": 1404645669, ""timestamp_updated"": 1404645669, ""voted_up"": true, ""votes_up"": 0, ""votes_funny"": 0, ""weighted_vote_score"": 0.5, ""comment_count"": 0, ""steam_purchase"": true, ""received_for_free"": false, ""written_during_early_access"": false, ""primarily_steam_deck"": false}"
11099706,76561197971315839,"The most horrible, buggy and boring game I ever spent my money on.",1404645914,1405938303,0,0.5,478,478,1404645765,"{""recommendationid"": ""11099706"", ""author"": {""steamid"": ""76561197971315839"", ""num_games_owned"": 0, ""num_reviews"": 13, ""playtime_forever"": 478, ""playtime_last_two_weeks"": 0, ""playtime_at_review"": 478, ""last_played"": 1404645765}, ""language"": ""english"", ""review"": ""The most horrible, buggy and boring game I ever spent my money on."", ""timestamp_created"": 1404645914, ""timestamp_updated"": 1405938303, ""voted_up"": false, ""votes_up"": 0, ""votes_funny"": 0, ""weighted_vote_score"": 0.5, ""comment_count"": 0, ""steam_purchase"": true, ""received_for_free"": false, ""written_during_early_access"": false, ""primarily_steam_deck"": false}"
11100470,76561198109783789,我能不能告诉你，游戏真的很不错,1404649847,1404649847,1,0.52173912525177,983,939,1409207297,"{""recommendationid"": ""11100470"", ""author"": {""steamid"": ""76561198109783789"", ""num_games_owned"": 0, ""num_reviews"": 23, ""playtime_forever"": 983, ""playtime_last_two_weeks"": 0, ""playtime_at_review"": 939, ""last_played"": 1409207297}, ""language"": ""schinese"", ""review"": ""我能不能告诉你，游戏真的很不错"", ""timestamp_created"": 1404649847, ""timestamp_updated"": 1404649847, ""voted_up"": true, ""votes_up"": 1, ""votes_funny"": 0, ""weighted_vote_score"": ""0.52173912525177002"", ""comment_count"": 0, ""steam_purchase"": true, ""received_for_free"": false, ""written_during_early_access"": false, ""primarily_steam_deck"": false}"
11101008,76561198116683311,"No just not !!! i pre order this game and was really looking forward, i saw is some game that will beat GTAV or PC version of GTA but you can hack everthing, unfortunately i was wrong.

OK so, lets first start talk about the graphcis is poor really SH!T almost like Saint Row 3 i mean come on even GTA IV can beat Watch_Dogs graphics in 2014 ! a game that come out in 2008 can beat a game come out in 2014 SERIOUSLY ??? (i did heard that the console version of Watch_Dogs are way better than PC,maybe this is just not a PC game ?)what is wrong with Ubisoft OMG...... just forget i also spend 40 bloody british pound for this game, i really dont mind about spend money on the game i love but sometime when is come to the game you will not get a goddamn penny from my pocket !

Is the game a open world ? yep pretty much you can drive around city, run over people, rob shop, theres only 2 type of shop availble for you to actually SHOPPING Clothes shop and gun store.i feel like the Ubisoft actually stole those thing from rockstar...... but with some really rubbish graphics and added hack.

Everyone Watch_Dogs this whole game is focus on one thing adn that is hacking so, whats you can actually hack ? like other game you get skill point after complete each different mission and you can spend on skill tree like control bridage and road block those really simple thing.

I don't normally post bad review,but i just want speak thing of true.
",1404652732,1404652732,0,0.5291524529457092,495,433,1401559745,"{""recommendationid"": ""11101008"", ""author"": {""steamid"": ""76561198116683311"", ""num_games_owned"": 169, ""num_reviews"": 13, ""playtime_forever"": 495, ""playtime_last_two_weeks"": 0, ""playtime_at_review"": 433, ""last_played"": 1401559745}, ""language"": ""english"", ""review"": ""No just not !!! i pre order this game and was really looking forward, i saw is some game that will beat GTAV or PC version of GTA but you can hack everthing, unfortunately i was wrong.\n\nOK so, lets first start talk about the graphcis is poor really SH!T almost like Saint Row 3 i mean come on even GTA IV can beat Watch_Dogs graphics in 2014 ! a game that come out in 2008 can beat a game come out in 2014 SERIOUSLY ??? (i did heard that the console version of Watch_Dogs are way better than PC,maybe this is just not a PC game ?)what is wrong with Ubisoft OMG...... just forget i also spend 40 bloody british pound for this game, i really dont mind about spend money on the game i love but sometime when is come to the game you will not get a goddamn penny from my pocket !\n\nIs the game a open world ? yep pretty much you can drive around city, run over people, rob shop, theres only 2 type of shop availble for you to actually SHOPPING Clothes shop and gun store.i feel like the Ubisoft actually stole those thing from rockstar...... but with some really rubbish graphics and added hack.\n\nEveryone Watch_Dogs this whole game is focus on one thing adn that is hacking so, whats you can actually hack ? like other game you get skill point after complete each different mission and you can spend on skill tree like control bridage and road block those really simple thing.\n\nI don't normally post bad review,but i just want speak thing of true.\n"", ""timestamp_created"": 1404652732, ""timestamp_updated"": 1404652732, ""voted_up"": false, ""votes_up"": 7, ""votes_funny"": 0, ""weighted_vote_score"": ""0.529152452945709229"", ""comment_count"": 6, ""steam_purchase"": true, ""received_for_free"": false, ""written_during_early_access"": false, ""primarily_steam_deck"": false}"
